Sejl,Nr,Navn,Crew,Klub,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Point,#
DEN,8440,Per Larsen,Henrik Andersen,FARUM,3,1,1,1,1,1,1,6,1
DEN,8622,Tom Bøjland,Jakob Karbo,FAS,2,2,2,7,2,3,5,16,2
DEN,8609,Martin Friderichsen,Thomas Kildegård,ÅRHUS,1,3,4,8,4,6,3,21,3
DEN,8561,Peter Møller,Uffe Andersen,NSK,4,6,5,4,3,2,7,24,4
DEN,8581,Jon Andresen,Lasse B. Andreasen,REERSØ,6,5,3,2,OCS,7,4,27,5
DEN,8476,Henrik Buhl,Morten S. Andersen,FARUM,5,7,6,5,OCS,4,2,29,6
DEN,7882,Jesper Høeg,Henrik Boye,KS,7,4,8,6,5,5,6,33,7
DEN,7934,Johnny Rodholm,Kim Riis Pedersen,HELLERUP,8,8,7,3,6,8,8,40,8
