DEN,Sejlnr.,Besætning,,Klub,1,2,3,4,5,6,I alt,Plac.
DEN,8656,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,HS,1,1,OSC,1,1,1,5,1
DEN,8620,Jan Saugmann,Morten Ramsbæk,HIS,3,2,1,2,2,4,10,2
DEN,8440,Per Larsen,Henrik Andersen,FAS,2,5,3,3,4,2,14,3
DEN,8807,Tom Bøjland,Jakob Karbo,FAS,4,4,2,5,6,3,18,4
DEN,8669,Tim Boger,Søren Overbeck,HCN,6,3,4,7,3,5,21,5
DEN,8551,Jacob Ernst,Jerper Ernst,HS,9,6,5,4,5,7,27,6
DEN,8561,Peter Møller,Uffe Andersen,NSK,7,9,6,12,8,8,38,7
DEN,8609,Martin Frederichsen,Thomas Kildegaard,ASK,10,7,9,8,OCS,6,40,8
DEN,8377,Anders Høj Christensen,Peter Høj Christensen,HVS,11,8,OSC,6,7,10,42,9
DEN,8082,Kenneth Eriksen,,HS,12,12,8,11,9,9,49,10
DEN,7882,Jesper Høeg,Henrik Boye,KS,5,14,10,9,13,14,51,11
DEN,8476,Henrik Buhl,Morten S. Andersen,FAS,15,10,OCS,10,10,11,56,12
DEN,8330,Mark Orton,Christian Stormark,HS,13,13,7,13,14,13,59,13
DEN,8333,Mikkel Christiansen,Mads Christiansen,AAS,14,11,11,OCS,15,15,66,14
DEN,8581,Jon Andersen,Lasse B. Andersen,Reersø,8,DNC,DNC,DNC,11,12,69,15
DEN,7934,Johnny Rodholm,Kim Riis Pedersen,HS,18,15,12,15,12,16,70,16
DEN,8389,Andreas Dietze,Paolo Rossi,Brevik,16,16,13,14,16,DNC,75,17
DEN,8019,Kim Sørensen,Peter Overgaard,KS,17,17,14,DNC,DNF,17,84,18
