Country,Sail No,Helm,Crew,From,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Bow No,Boat Name,Sers Score,Place
AUS,9191,Malcolm Higgins,Jesse Mitton,Bsyc,1,3,3,3,[6],1,2,ABN,3,65,WHISKEY TANGO FOXTROT,16,1
AUS,9059,Christopher Paterson,Conall Hansford,FSC,5,4,7,5,[9],3,6,ABN,2,68,VENATOR,32,2
AUS,8801,Peter Nicholas,Luke Payne,RFBYC GKSS,2,1,5,1,13,12,1,ABN,[31C],57,CRIMSON AUTOGRAPH,35,3
AUS,8794,Michael Babbage,James McAllister,NCYC,[15],6,1,6,5,2,9,ABN,7,72,ALVIN RIDES AGAIN,36,4
AUS,9264,Nicholas Mariani,Jake Bessen,FSC,9,5,2,2,7,13,3,ABN,[19],69,PINCH N ROLL,41,5
AUS,9226,Tessa Parkinson,Thor Schoenhoff,FSC,3,[31R],4,4,10,5,4,ABN,11,66,THE WOLF,41,6
AUS,8817,Michael Duffield,Nalu Ho,Fsc,[14],10,8,7,3,4,14,ABN,4,58,TENSING NORGAY,50,7
AUS,9194,Michael Quirk,David Snoad,Msc,4,8,11,9,1,11,[21],ABN,15,75,FRANKENSTEIN MONSTER,59,8
AUS,9265,Carter Jackson,Will MacDonald,MYC,7,12,9,14,[18],9,7,ABN,1,70,BILLY,59,9
AUS,8684,Ayden Menzies,,TASC,[12],9,10,11,8,8,8,ABN,5,54,TACHOMETER NEEDLE,59,10
AUS,9254,Mark Stowell,Mark Stowell,FSC,10,7,13,12,16,6,[19],ABN,10,67,RESTLESS JET,74,11
USA,9252,Douglas Hagan,Paul von Grey,PCYC,8,2,6,10,4,16,[31C],ABN,31C,77,PANIC,77,12
AUS,8781,Chris Gregg,Ian Gregg,DPSS,6,[31C],12,8,17,7,10,ABN,31C,55,CRISPY,91,13
AUS,8893,Ryan Menzies,Lucas Geddes,RMYC,13,[31C],21,18,11,14,11,ABN,9,59,YEAH BUDDY,97,14
AUS,8666,Angus Cameron,Marcus Cooper,RFBYC,16,14,17,13,12,10,[26],ABN,16,53,RITE OF PASSAGE,98,15
GBR,9229,Michael Wilson,Stu Bithell,IOMYC,11,13,[31C],31C,2,31C,13,ABN,6,80,SHOTGUNN,107,16
AUS,8796,Owen Vale,Andrew Quinn,RPAYC,17,17,15,15,19,[20],16,ABN,14,56,SYNCHRONICITY,113,17
AUS,8894,Chris White,,FSC,[31C],15,14,19,15,15,24,ABN,17.3A,60,BLACK BOAT,119.3,18
AUS,9273,Matthew Hansen,,fsc,20,11,16,16,[31C],31C,12,ABN,17,71,MAGIC ROUNDABOUT,123,19
AUS,8855,Caitlin Elks,Andrew Cawley,FSC,[31H],31H,18,22,14,21,5,ABN,13,78,OCCY,124,20
AUS,9049,Alexander Thomson,Lincoln Mcdonald,Fsc,[22],18,19,17,20.05.2026,18,18,ABN,21,63,MANTA,131.5,21
AUS,9167,Nigel Lott,Harry Moffatt,DPSS,19,16,[31C],31C,23,17,15,ABN,12,64,SOAKED,133,22
AUS,8968,Grant Abbott,Matthew Till,FSC,18,19,[23],23,20.05.2026,19,22,ABN,18,61,DEVILS HAIRCUT,139.5,23
AUS,8588,Nele Soeker,Thore Kiesbye,FSC,24,21,24,[25],22,23,20,ABN,20,51,PROJECT,154,24
AUS,8637,Sam Cronin,Rob Tikoft,PKSC,21,[31C],22,24,24,26,17,ABN,22,52,BLOWFLIES,156,25
AUS,9017,Roger Pell,Edmond Repsevicius,FSC,[26],22,25,21,26,22,23,ABN,23,62,STRING THEORY,162,26
CAN,9200,"Alexander ""Ali"" Meller",,KYC,23,20,20,20,[31C],31C,25,ABN,31C,76,RILEYS BOAT,170,27
AUS,9037,Lindsay Gilbert,,SYC,[31R],31C,31C,31C,25,24,31C,ABN,31C,73,SWEAT BETTY,204,28
AUS,8682,Richard Hyde,Matthew Hyde,DPSS,25,[31C],31C,31C,31C,25,31C,ABN,31C,50,WET MARKET,205,29
AUS,9115,Steve Howden,,PMYC,[31C],31C,31C,31C,31C,31C,31C,ABN,31C,74,DANCE DONT WALK,217,30
