Nation,Seglingsnr:,Rorsman,Besättning,13/8 :1  ,20/8:1  ,20/8:2  ,27/8  ,3/9:1  ,3/9:2  ,10/9:1  ,10/9:2  ,17/9:1  ,17/9:2  ,24/9  ,Total,Rank
SWE,8787,Lars Bjerke,Hans Lindh/Tore Reinhold/Rasmus Tengblad/Sören Lundin,1,1,2,1,1,2,DNS 5.0,DNS 5.0,1,2,5,26,1
SWE,8651,Peter Andersson,Per-Eric Thörnström,2,2,1,DNC 9.0,DNC 9.0,DNC 9.0,DNS 5.0,DNS 5.0,2,1,2,47,2
SWE,7667,Sven Flood,Pia Åhlund/Rasmus Tengblad,4,4,3,2,3,3,DNS 5.0,DNS 5.0,7,7,4,47,3
SWE,8837,Tord Lawner,Tomas Gustafsson,3,3,4,5,DNC 9.0,DNC 9.0,DNC 9.0,DNC 9.0,3,3,1,58,4
SWE,8257,Johan Johansson,Anders Ekberg,DNC 9.0,5,5,4,2,1,DNC 9.0,DNC 9.0,4,4,DNC 9.0,61,5
SWE,8323,Hanna Bach,Fredrik Bach,DNC 9.0,DNC 9.0,DNC 9.0,3,DNC 9.0,DNC 9.0,DNS 5.0,DNS 5.0,6,5,DNC 9.0,78,6
SWE,8917,Jesper Fowelin,Tomas Jonsson,DNC 9.0,DNC 9.0,DNC 9.0,DNC 9.0,DNC 9.0,DNC 9.0,DNC 9.0,DNC 9.0,5,6,3,86,7
SWE,5031,Rasmus Tengblad,Jon Möller,DNC 9.0,DNC 9.0,DNC 9.0,DNC 9.0,DNC 9.0,DNC 9.0,DNC 9.0,DNC 9.0,DNC 9.0,DNC 9.0,DNC 9.0,99,8
