Nation,Sail number,Skipper,Crew,Club,R1,R2,R3,R4,Team name,Total,Nett,Rank
DEN,9062,Bojsen-Møller Jørgen,Jacob Bojsen-Møller,Hellerup,1,1,1,4,,7,3,1st
DEN,8964,Saugmann Jan,Martin Görge,Hellerup,2,4,3,2,Helly Hansen,11,7,2nd
SWE,8926,Ebbe Rosén,Olle Wenrup,Mälarhöjdens Kanotsällskap (MKS),3,3,2,6,,14,8,3rd
GER,9054,Morten Bogacki,Lars Derschotte Dehne,Duesseldorfer Yacht Club,4,2,4,5,,15,10,4th
DEN,8440,Christiansen Mikkel,Mads Christiansen,Aalborg Sejlklub,9,5,5,1,,20,11,5th
FIN,8768,Salonen Antti,Giovanni Giacometti,SP / HYP,8,7,8,3,Giiamari,26,18,6th
SWE,8787,Bjerke Lars,Tore Reinhold,BKSS,6,8,6,12,,32,20,7th
FIN,8466,Peury Hannu,Viiva Pinkki,"VVK, OTPS",12,6,11,7,Pinkki Viiva,36,24,8th
SWE,8655,Nilsson Kalle,,SS Kaparen,5,13,9,11,Komåblås 18,38,25,9th
FIN,9069,Laurila Tuomas,,KuoPs / EMK,10,9,7,9,,35,25,10th
SWE,8651,Thörnström Per-Eric,Peter Andersson,SS Viken-Ägir,14,10,12,8,,44,30,11th
DEN,8828,Wonterghem Michael,Fabiola Wonterghem,Sorø sejlforening,13,12,10,10,,45,32,12th
SWE,9092,Hastenpflug Knut,Jana Hastenpflug,Segelsällskapet Åmålsviken,11,11,13,14,,49,35,13th
SWE,7655,Hultgren Lars,,Råå Jolleklubb,17,17,14,13,,61,44,14th
SWE,8917,Fowelin Jesper,Andreas Carlsson,ÖLSS,15,14,25.0 DNF,15,Fowelin,69,44,15th
SWE,8912,Hastenpflug Tom,Toni Hastenpflug,Segelsällskapet Åmålsviken,7,15,25.0 DNF,25.0 DNC,otto,72,47,16th
SWE,8257,Ekberg Anders,,BKSS,16,19,15,16,Team Eskimo,66,47,17th
SWE,8837,Lawner Tord,Tomas Gustafsson,BKSS,25.0 DNF,16,16,17,,74,49,18th
SWE,8071,Kjellberg Per,Rita Cording,"SS Delfinen, Vejbystrand",25.0 DNF,18,18,18,,79,54,19th
SWE,8848,Calvert Johan,Marcus Haas,Gkss,21,20,17,19,Kallstart,77,56,20th
SWE,7667,Flood Sven,Pia Åhlund,BKSS,18,23,19,21,,81,58,21st
SWE,5031,Tengblad Rasmus,,BKSS,19,22,21,20,Team Timmarna,82,60,22nd
DEN,6453,Genefke Hans,Finn Angelo,Skælskør Amatør Sejlklub,25.0 DNF,21,20,22,,88,63,23rd
SWE,8210,Åkesson Fredrik,,BKSS,20,25.0 DNF,22,25.0 DNC,Team Blåbär,92,67,24th
