Pos,Sail,Skipper,,,Race 1,Race 2,Total Points,Pos
USA,8814,Ali Meller,,,1,1,2.00,1
USA,8821,Stephen Long,,,3,2,5.00,2
USA,7199,Stergios Papadakis,,,2,5/DNC,7.00,3
USA,6987,Jay Bergquist,,,4,3,7.00,4
