Pos,Sail,Skipper,,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,TotalPoints,Pos
USA,8814,Erika Seamon,,,1,1,2,1,8/DNC,8/DNC,8/DNC,8/DNF,8/DNF,8/DNF,53.00,1
USA,8854,Brendan Connell,,,3,2,1,2,8/DNC,8/DNC,8/DNC,8/DNF,8/DNF,8/DNF,56.00,2
USA,7199,Stergios Papadakis,,,8/DNC,8/DNC,8/DNC,3,2,2,2,8/DNF,8/DNF,8/DNF,57.00,3
USA,7080,Ali Meller,,,8/DNF,8/DNF,8/DNF,8/DNF,8/DNF,8/DNF,8/DNF,1,1,1,59.00,4
USA,8629,Jesse Falsone,,,8/DNF,8/DNF,8/DNF,8/DNF,1,1,1,8/DNF,8/DNF,8/DNF,59.00,5
USA,5606,Bryan Richardson,,,8/DNF,8/DNF,8/DNF,8/DNF,8/DNF,8/DNF,8/DNF,2,2,2,62.00,6
USA,6987,Jay Bergquist,,,2,3,3,8/DNF,8/DNC,8/DNC,8/DNC,8/DNF,8/DNF,8/DNF,64.00,7
