Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Points Netto,Place
USA,8883,Tyler Moore,Jesse Falsone,,2,[4],1,1,1,2,2,1,4,4,18,1
USA,8722,Macy Nelson,Peter Alarie,,1,2,3,3,5,1,1,4,[6],2,22,2
USA,8627,Tim Collins,Bill Smith,,3,3,7,[9],2,3,4,3,1,1,27,3
USA,8830,Ramsay Key,Andrew Buttner,,4,1,2,2,[9],5,6,2,7,3,32,4
USA,8629,Nick Ewenson,Geoff Ewenson,,6,6,5,7,4,7,7,[10],2,10,54,5
USA,8012,Henry Amthor,Adam Schell,,5,5,4,6,3,[13],9,9,11,7,59,6
CAN,8264,Jeff Boyd,Martin ten Hove,,10,10,10,[11],8,6,3,6,3,6,62,7
USA,8643,Barney Harris,Clayton James,,7,13,8,4,7,4,5,5,9,[DNC],62,8
USA,8083,Ted Ferrarone,Michael Welch,,8,7,6,[14],13,9,8,7,12,5,75,9
USA,7068,Craig Thompson,JB Turney,,11,9,12,8,12,8,12,13,[17],16,101,10
USA,814*,Stergios Papadakis,,,15,[21],19,10,6,10,10,11,16,13,110,11
USA,8018,Solomon Marini,,,12,12,14,13,11,16,[19],14,15,9,116,12
USA,7067,Chris Behm,Mark Zagol,,[DNC],8,11,17,10,19,20,19,10,12,126,13
USA,7153,Danny Pletsch,Blaine Pedlow,,9,14,13,5,[DNC],DNC,11,8,21,17,128,14
USA,8194,Thomas Kivney,,,13,11,15,15,15,20,18,20,[25],11,138,15
USA,7092,Dustin Romey,,,17,18,16,12,20,[21],15,21,8,15,142,16
USA,6985,Michael Breton,,,16,20,17,16,[DNC],11,16,15,22,14,147,17
USA,8778,Darryl Dietz,,,14,16,20,[DNC],17,15,17,DNC,14,20,163,18
USA,8464,Chris Schubert,,,[DNC],17,22,19,22,17,14,12,19,22,164,19
USA,8624,David Stetson,,,[DNC],19,18,18,19,18,24,DNC,5,21,172,20
USA,722*,Dylan Breton,,,[DNC],15,9,DNC,14,12,DNC,DNF,20,19,179,21
USA,6934,Larry Ehrhart,,,[DNC],DNC,DNF,DNF,18,14,22,18,13,8,183,22
USA,8931,Joerg Esdorn,,,[DNC],DNC,DNC,DNC,16,22,23,16,23,18,208,23
USA,8753,Justin Shaffer,,,[DNC],DNC,DNC,DNC,DNC,23,13,DNC,18,23,227,24
USA,8790,Greg Davis,,,[DNC],DNC,DNC,DNC,21,DNC,21,17,24,DNC,233,25
USA,7566,John Wyles,,,[DNS],22,21,DNC,23,DNC,25,22,DNC,DNC,233,26
USA,8351,David Burchfiel,,,18,23,[DNC],DNC,DNC,DNC,DNC,DNC,DNC,DNC,251,27
