,Sail No.,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Pos
,8481,Simon Payne,Bill Masterman,,1,1,1,1,20,4,1
,8568,C Walters,Christian Diebitsch,,3,8,4,3,2,12,2
,8555,Dave Smithwhite,Paul Young,,5,5,2,2,10,14,3
,8432,Debbie Jarvis,Dan Johnson,,4,3,3,4,20,14,4
,8679,Hector Cisneros,Lawrence Crispin,,6,4,20,5,1,16,5
,8495,David Peacock,Chris Hewkin,,8,6,5,7,4,22,6
,8701,Paul Lovesy,John Ironmonger,,10,7,6,6,20,29,7
,8429,Rob Napier,Jonathan Rennie,,12,12,7,8,5,32,8
GBR,8736,Ian Pinnell,Nick Powell,,2,2,20,9,20,33,9
,8460,Martin Gout,Gordon Russell,,9,9,20,20,3,41,10
,8307,Paul Foddy,Peter Smithin,,11,11,10,11,20,43,11
,8694,Andy Williams,Andy Edmonds,,7,10,9,20,20,46,12
,8535,Jan Susai,Francis Cram,,19,17,11,13,7,48,13
,8483,Simon Sydenham,Chris Ritchie,,20,20,13,10,6,49,14
,8532,Tom Clayton,Dennis Hyatt,,16,16,12,15,8,51,15
,8678,Jim Berry,Rich Berry,,19,19,8,12,20,58,16
,8745,Chris Pearson,Frank Rainsbrough,,13,13,20,20,20,66,17
,8467,Chris Romans,Brenda Romans,,14,14,20,20,20,68,18
,8726,Martin Stainsby,Bill Munnery,,15,15,20,20,20,70,19
