Segel,Nummer,Helm,Crew,,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,T.,N.,Nr
GER,9251,Jan-Philipp Hofmann,Felix Björn Brockerhoff,,[11],3,1,3,9,2,2,1,1,1,1,3,1,5,44,33,1
GER,8992,Lutz Stengel,Frank Feller,,9,1,5,1,1,1,1,2,8,2,4,1,2,[11],49,38,2
GER,9198,Michael Daisenberger,Johannes Tellen,,2,6,13,2,2,3,5,6,11,11,[18],2,3,8,92,74,3
GER,9070,Stefan Köchlin,Andréas Achterberg,,6,4,12,4,5,4,24,3,3,[40 BFD],3,5,11,4,128,88,4
GER,9258,Alexander Holzapfel,Arne Wittemer,,7,11,6,5,14,7,[18],8,2,10,2,14,8,3,115,97,5
DEN,9055,Fabiola van Wonterghem,Michael van Wonterghem,,[17],12,11,7,4,11,6,17,7,15,6,13,7,1,134,117,6
GER,9256,Jens Biederer,Aron Tellen,,3,5,18,10,6,17,4,11,[40 BFD],3,10,4,4,24,159,119,7
DEN,9244,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,,13,2,2,6,21,5,20,[22],6,5,5,6,9,20,142,120,8
GER,9260,Tim Böger,Finn Böger,,15,8,10,8,3,6,3,7,[40 BFD],7,13,9,10,25,164,124,9
GER,9057,Geeske Genrich,Johannes Kindermann,,5,22,19,[40 OCS],8,25,17,9,4,4,8,7,6,2,176,136,10
GER,9189,Hendrik Schultz,Ute Oberländer,,24,7,3,[25],7,12,7,12,5,16,14,12,14,14,172,147,11
GER,9231,Stefan Giesler,Frank Böhm,,4,10,17,11,10,8,14,10,17,13,[24],11,23,13,185,161,12
GER,9268,Henrik Schade,Sebastian Wiemer,,1,9,16,16,20,14,[28],14,19,9,7,8,13,16,190,162,13
GER,8669,Nils-Henning Hofmann,Mathias Weidenbach,,8,15,21,13,19,[24],15,4,10,21,16,10,5,12,193,169,14
GER,8903,Steve Kwee,Hanno Weimer,,25,17,7,14,12,13,8,23,[27],6,9,20,24,10,215,188,15
GER,9197,Nicola Birkner,Angela Stenger,,[26],16,15,12,17,21,9,15,9,12,23,17,16,6,214,188,16
DEN,9025,Christian Seilman,Henrik Thomasen,,10,23,20,17,15,[40 DNS],13,5,18,8,12,21,25,17,244,204,17
GER,8928,Andreas Porth,Martin Lietz,,[34],25,4,20,13,16,22,19,12,20,15,24,12,9,245,211,18
GER,9182,Alexander Swade,Christoph Swade,,21,26,9,22,11,10,[27],13,14,26,19,23,19,18,258,231,19
GER,9152,Anika Wollenbecker,Raik Wollenbecker,,18,13,8,9,24,18,26,24,25,23,20,16,15,[31],270,239,20
GER,9131,Jörn Wille,Martin Bergmann,,19,14,26,18,27,22,11,[29],15,19,21,19,18,23,281,252,21
GER,9234,Nørbert Dasenbrook,Sven Meier,,29,18,27,15,26,19,12,21,16,14,22,15,[30],26,290,260,22
BEL,8613,Kim Van Assche,Tessa Liebens,,22,24,24,28,[31],23,10,20,13,18,27,25,17,19,301,270,23
GER,9280,Nicolai Völckner,Andreas Schmidt,,14,19,29,26,25,26,16,[30],28,24,25,18,22,15,317,287,24
DEN,8232,Jonas Christiansen,Brian Sørensen,,12,[32],23,24,23,20,23,26,20,28,17,27,26,21,322,290,25
GER,9066,Peter Gerdts,Christian Labenz,,16,21,25,23,[40 DNS],40 DNS,25,28,26,22,28,28,21,7,350,310,26
POL,9135,Dariusz Konopczak,Paweł Henszke,,20,28,14,21,22,15,21,16,22,25,26,[40 DNS],40 DNS,40 DNS,350,310,27
SWE,9259,Mikael Gustavsson,Tore Reinhold,,[40 DNS],40 DNS,40 DNS,19,16,9,19,18,40 BFD,17,11,26,20,40 DNS,355,315,28
AUS,9225,Lindsay Gilbert,Murray Gilbert,,23,20,22,29,18,[40 DNS],36,25,24,27,29,22,27,27,369,329,29
GER,8806,Anna Hauschild,Anja Stengel,,31,29,28,27,29,27,29,[32],21,29,31,29,28,22,392,360,30
GER,8932,Christian Henge,Katharina Menge,,28,33,32,[40 DNF],40 DNS,40 DNS,32,27,29,31,30,30,29,30,451,411,31
GER,9021,Hendrik Schürkötter,Robert Jacob Feller,,32,35,[37],31,30,28,35,31,30,33,34,31,32,32,451,414,32
GER,8519,Silvio Hilbrich,Marcus Wagner,,33,34,31,32,33,[40 DNS],31,35,23,32,36,33,33,29,455,415,33
GER,8825,Andréas Jungclaus,Joscha Mudrack,,30,31,36,30,28,[40 DNS],33,34,31,30,32,40 DNS,40 DNS,40 DNS,475,435,34
GER,8518,Achim Funk,Michael Probst,,[40 DNF],36,33,34,32,40 DNS,34,36,33,36,33,34,31,34,486,446,35
GER,9040,Harald König,Felix Weissensteiner,,[40 DNS],40 DNS,35,40 DNF,40 DNS,40 DNS,37,33,32,34,40 DNS,32,34,28,505,465,36
GER,8997,Nadine Dresp,Ingolf Dresp,,[40 DNF],37,38,40 DNF,40 DNF,29,38,37,34,35,35,40 DNF,35,33,511,471,37
DEN,9014,Sylvester Holm,Agnete Schlichtkrull,,[40 DNS],27,34,33,40 DNF,40 DNS,30,40 DNF,40 DNF,40 DNF,40 DNF,40 DNF,40 DNF,40 DNF,524,484,38
GER,9159,Nele Söker,Daniel Labhart,,27,30,30,[40 DNS],40 DNS,40 DNS,40 DNS,40 DNS,40 DNS,40 DNS,40 DNS,40 DNS,40 DNS,40 DNS,527,487,39
