Sail,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Netto,Nr
GER,8992,Lutz Stengel,Frank Feller,ROYC,3,1,1,1,2,[19 DNS],27,8,1
GER,9268,Henrik Schade,Sebastian Wiemer,WVW,4,[6],2,3,3,1,19,13,2
GER,9260,Tim Böger,Markus Schöner,HSC,[11],5,4,2,1,2,25,14,3
GER,9241,Hans-Heinrich Rix,Steffen Achenbach,TSVS,5,[10],5,6,4,3,33,23,4
GER,9256,Jens Biederer,Hendrik Annighöfer,KYC,[14],3,3,4,6,8,38,24,5
GER,9234,Nørbert Dasenbrook,Sven Meier,KSW,2,[15],7,7,5,9,45,30,6
GER,912*,Nils-Henning Hofmann,Henrike Leitl,DYC,1,[12],9,8,7,7,44,32,7
GER,9182,Alexander Swade,Inga-Marie Hofmann,DYC,8,2,[13],11,9,4,47,34,8
GER,8928,Andreas Porth,Martin Lietz,FSV03E.V.,9,11,10,[15],8,6,59,44,9
GER,8750,Mirco Gantenberg,Jacob Niewiarra,SC HATTINGEN,6,9,[14],13,11,10,63,49,10
GER,9258,Anna Hauschild,Arne Wittemer,SCS,7,[17],8,9,13,12,66,49,11
GER,8903,Steve Kwee,Hanno Weimer,HSC,12,16,[19 DNF],5,12,5,69,50,12
GER,9000,Julia Pösch,Thorsten Pösch,SCSZ,10,4,6,[19 DNF],19 DNC,19 DNC,77,58,13
GER,9131,Jörn Wille,Martin Bergmann,MSC,13,7,[16],12,14,14,76,60,14
GER,9066,Peter Gerdts,Christian Labenz,SVWU,[16],14,15,10,10,11,76,60,15
GER,8775,Jan Sell,Wiebke Gewinn,MSC,[17],13,12,14,15,13,84,67,16
GER,8825,Andréas Jungclaus,Michael Heyder,HSC,15,8,11,[19 DNF],19 DNC,19 DNC,91,72,17
GER,8932,Christian Henge,Katja Henge,WEISE,18,18,17,[19 DNF],19 DNC,19 DNC,110,91,18
