Sail,Number,Helm,Crew,Club,R1,R2,R3,R4,R5,T,N,Nr
GER,9198,Micki Daisenberger,Johannes Tellen,DTYC,[2],1,1,1,1,6,4,1
GER,9189,Hendrik Schultz,Ute Oberländer,SCLW,1,[3],2,2,2,10,7,2
GER,9275,Christian Kellner,Andreas Achterberg,SVBB,3,2,[14 DNF],6,4,29,15,3
GER,9032,Klaus Diesch,Thomas Stemmer,WYC,4,5,[14 DNF],5,3,31,17,4
GER,9100,Nathalie Zeiler,Claudius Zeiler,SCLW,6,7,[14 DNF],3,5,35,21,5
GER,9114,Mats Westholm,Ralf Breitenfeldt,SCLW,9,4,[14 DNF],8,7,42,28,6
GER,8750,Mirco Gantenberg,Jacob Niewiarra,SC HATTINGEN,5,8,[14 DNF],9,6,42,28,7
GER,9046,Annika Seiffert,Andreas Seiffert,SCLA,7,[12],3,11,11,44,32,8
GER,8862,Robert Wisolek,Clemens Pirker,BA050,12,6,[14 DNF],4,12,48,34,9
GER,8518,Achim Funk,Michael Probst,SCLW,8,9,[14 DNF],7,10,48,34,10
GER,9040,Harald König,Katja Frühwald-König,SRVL-S,10,11,[14 DNF],10,9,54,40,11
GER,8672,Dirk Hütten,Guido Von Walter,SGR,11,10,[14 DNF],12,8,55,41,12
GER,8997,Nadine Dresp,Ingolf Dresp,YCRA,13,[14 DNC],14 DNF,13,13,67,53,13
