Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points Total,Points Netto,Place
GER,9230,Martin Kittsteiner,Oliver Stieglitz,HSC,1,1,[11],3,16,5,1
GER,8903,Steve Kwee,Hanno Weimer,HSC,2,3,[4],2,11,7,2
GER,9066,Peter Gerdts,Christian Labenz,SVWU,[7],2,3,4,16,9,3
GER,9256,Jens Biederer,Aron Tellen,KYC,5,4,2,[6],17,11,4
GER,9268,Henrik Schade,Sebastian Wiemer,WVW,4,7,[19 OCS],1,31,12,5
BEL,8613,Kim Van Assche,Steven Ferson,LZF,3,5,8,[15],31,16,6
GER,9159,Nele Söker,Daniel Labhart,FSC,6,[8],7,8,29,21,7
GER,9000,Julia Pösch,Thorsten Pösch,SCSZ,9,[13],1,12,35,22,8
GER,9030,Andréas Jungclaus,Joscha Mudrack,HSC,11,[15],6,5,37,22,9
GER,8370,Felix Graff,Stephan Graff,ZSK,8,6,10,[13],37,24,10
GER,9102,Andre Tirre,Frank Wille,ZSK,[14],11,5,11,41,27,11
BEL,9163,Pierre Gorremans,Emma Gaens,NLM,10,12,[14],9,45,31,12
GER,8849,Axel Dierich,Felix Dierich,MYCVD,[16],16,9,7,48,32,13
GBR,8774,Nicolai Völckner,Andreas Schmidt,TSVS,12,10,[19 DNF],10,51,32,14
BEL,8844,Frank Boonen,Ronald Vanthoor,NLM,[19 DNC],9,12,14,54,35,15
GER,8932,Christian Henge,Katja Henge,WEISE,15,14,13,[16],58,42,16
GER,8469,Hansjörg Ehlers,Thomas Afken,ZSK,13,[17],15,17,62,45,17
GER,8750,Mirco Gantenberg,Jacob Niewiarra,SC HATTINGEN,[19 DNC],19 DNC,19 DNC,19 DNC,76,57,18
