Sail,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,T,N,Nr
GER,9198,Micki Daisenberger,Johannes Tellen,DTYC,[2],1,1,1,5,3,1
GER,9189,Hendrik Schultz,Ute Oberländer,SCLW,1,2,2,[10]DNS,15,5,2
GER,9197,Nicola Birkner,Angela Stenger,VSAW,[3],3,3,2,11,8,3
GER,8672,Dirk Hütten,Guido Von Walter,SGR,4,[10 DNF],10 DNC,10 DNC,34,24,4
GER,9133,Frieder Achterberg,Wolfgang Stückl,DTYC,5,[10 DNC],10 DNC,10 DNC,35,25,5
GER,8691,Felix Bernhardt,André Müller,SRVL-S,6,[10 DNF],10 DNC,10 DNC,36,26,6
GER,8607,Jannis Bachmann,Stephan Bachmann,ESV Ringsee,7,[10 DNF],10 DNC,10 DNC,37,27,7
GER,8990,Ralf Breitenfeldt,Alexander Wilhelm,SCLW,8,[10 DNF],10 DNC,10 DNC,38,28,8
GER,8518,Achim Funk,Michael Probst,SCLW,[10 DNF],10 DNC,10 DNC,10 DNC,40,30,9
