Sail,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Netto,Place
GER,9251,Jan-Philipp Hofmann,Felix Björn Brockerhoff,DYC,1,1,1,1,1,2,[4],11,7,1
GER,9260,Tim Böger,Finn Böger,HSC,7,4,3,2,2,[9],1,28,19,2
GER,8992,Lutz Stengel,Frank Feller,ROYC,4,3,6,4,[8],4,8,37,29,3
FRA,9270,Philippe Boite,Thimothé Chiron,cvsq,8,[10],7,6,3,1,7,42,32,4
GER,9275,Stefan Köchlin,Andréas Achterberg,SVS,3,2,5,[21],5,6,12,54,33,5
GER,9258,Alexander Holzapfel,Arne Wittemer,PSVK,11,5,[15],9,7,5,3,55,40,6
GER,9198,Michael Quirk,Johannes Tellen,CNBC,6,8,2,12,6,11,[14],59,45,7
DEN,9055,Fabiola van Wonterghem,Michael van Wonterghem,Holbæk Sejlklub,9,6,10,3,13,[17],6,64,47,8
GER,9185,Stefan Böhm,Gerald Roos,SCV,2,7,11,5,11,15,[36 DNF],87,51,9
GER,9231,Stefan Giesler,Frank Böhm,VSAW,5,12,13,13,4,13,[15],75,60,10
GER,9256,Jens Biederer,Aron Tellen,KYC,[36 DNF],36 DNC,8,10,9,3,2,104,68,11
GER,8903,Steve Kwee,Hanno Weimer,HSC,14,[23],9,11,12,7,18,94,71,12
AUS,9269,Mark Stowell,Johan Stromdahl,Rfbyc,10,11,14,[20],14,8,16,93,73,13
GER,9234,Nørbert Dasenbrook,Sven Meier,SKBUE,[25.5],13,16,15,16,10,9,"104,5",79,14
GER,9268,Henrik Schade,Sebastian Wiemer,WVW,[21],15,12,14,10,16,17,105,84,15
GER,9197,Nicola Birkner,Angela Stenger,VSAW,20,19,[21],7,21,14,5,107,86,16
GER,8669,Nils-Henning Hofmann,Henrike Leitl,DYC,15,14,[22],18,15,18,10,112,90,17
GER,9101,Timon Treichel,Morten Roos,SVWU,13,9,4,8,[36 DNC],36 DNC,36 DNC,142,106,18
GER,8928,Andreas Porth,Martin Lietz,FSV03E.V.,17,[36 DNS],25,24,17,12,11,142,106,19
GER,9182,Alexander Swade,Patrick Treichel,DYC,18,16,19,[23],18,20,19,133,110,20
GER,9066,Peter Gerdts,Christian Labenz,SVWU,12,17,23,[29],20,22,24,147,118,21
GER,9131,Jörn Wille,Justus Wille,MSC,22,20,[24],19,19,19,21,144,120,22
GER,8958,Nicholas Melzwig,Katharina Menge,LRV,[24],21,18,22,23,23,20,151,127,23
POL,9135,Dariusz Konopczak,Paweł Henszke,YKP Szczecin,16,18,26,27,22,[36 DNF],22,167,131,24
AUS,9225,Lindsay Gilbert,Murray Gilbert,Sandgate Yacht Club,[36 DNF],36 DNC,27,16,24,25,13,177,141,25
SWE,9092,Tom Hastenpflug,Knut Hastenpflug,SSAV,[36 DNF],36 DNC,28,17,25,21,23,186,150,26
GER,8825,Andréas Jungclaus,Micha Heyder,HSC,[36 DNF],36 DNC,20,30,26,26,25,199,163,27
GER,9169,Rayan Schöner,Markus Schöner,NRV,"25,5",24,17,26,[36 DNC],36 DNC,36 DNC,"200,5","164,5",28
GER,8806,Anna Hauschild,Anja Stengel,SCS,[36 DNF],36 DNC,29,25,27,27,26,206,170,29
GER,9021,Hendrik Schürkötter,Alexander Greil,SCFL,27,25,30,[31],29,30,29,201,170,30
POL,8751,Paweł Kluczyński,Teofil Nowak,AZS P,23,22,[36 DNF],36 DNC,36 NSC,28,27,208,172,31
GER,8932,Christian Henge,Katja Henge,WEISE,[36 DNF],36 DNC,36 DNS,33,28,24,30,223,187,32
GER,8849,Axel Dierich,Alexander Zeh,MYCVD,[36 DNF],36 DNC,32,32,36 DNF,29,28,229,193,33
GER,9195,Dirk Penno,Thorsten Pösch,DTYC,19,[36 DNC],36 DNC,36 DNC,36 DNC,36 DNC,36 DNC,235,199,34
GER,8947,Ralf Schneidewind,Martin Bernauer,PSC,[36 DNF],36 DNC,31,28,36 DNC,36 DNC,36 DNC,239,203,35
