Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points Total,Points Netto,Place
GER,9189,Hendrik Schultz,Ute Oberländer,SCLW,[1],1,1,1,4,3,1
GER,9032,Klaus Diesch,Thomas Stemmer,WYC,[6],2,2,2,12,6,2
GER,8702,Martin Handel,Rainer Hangarter,YCL,2,[7],3,3,15,8,3
GER,8457,Zeno Danner,Jacob Werner,KYC,3,4,[9],6,22,13,4
GER,8691,Felix Bernhardt,André Müller,SRVL-S,4,[6],4,5,19,13,5
GER,9040,Harald König,Katja Frühwald-König,SRVL-S,5,[12],5,4,26,14,6
GER,8579,Peter Wackerbauer,Dubravka Lung,RSB,[8],3,7,8,26,18,7
GER,8990,Ralf Breitenfeldt,Dirk Hütten,SCLW,[9],5,8,7,29,20,8
GER,9046,Annika Seiffert,Andreas Seiffert,SCLA,12,[13],6,9,40,27,9
GER,8674,Guido Dors,Jochen Heydolph,SCLW,[11],8,10,10,39,28,10
GER,8997,Nadine Dresp,Ingolf Dresp,YCRA,10,9,[11],11,41,30,11
GER,8518,Achim Funk,Michael Probst,SCLW,7,10,[14 DNF],14 DNC,45,31,12
GER,8607,Jannis Bachmann,Stephan Bachmann,,[13],11,12,12,48,35,13
