Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
GER,9151,Walter Steding,Hans-Werner Steding,HSC,1,2,5,1,1,,,,1
GER,9144,Anna Lienau,Ulf Denecke,,2,4,3,2,2,,,,2
GER,8747,Martin Kittsteiner,Oliver Stieglitz,HSC,3,1,DNC,6,4,,,,3
GER,8903,Steve Kwee,Hanno Weimer,HSC,4,3,DNC,5,3,,,,4
GER,8989,Leif Koch,Nick Brandt,NRV,7,5,9,3,5,,,,5
GER,8686,Markus Hintz,John Christiansen,HSC,DNC,6,4,8,7,,,,6
GER,8389,Denis Rumohr,Katharina Menge,,8,9,8,9,6,,,,7
GER,8747,Jens Biederer,Oliver Stieglitz,HSC,DNC,DNC,1,4,12,,,,9
GER,9131,Jörn Wille,Martin Bergmann,MSC,DNC,DNC,2,7,10,,,,10
GER,9057,Stefan Worm,Johannes Kindermann,RYC,5,DNC,DNC,10,9,,,,11
GER,9030,Andreas Jungclaus,Michael Heyder,HSC,6,DNC,DNC,12,8,,,,12
