Sail,Number,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,T,N,Nr
GER,8992,Lutz Stengel,Frank Feller,ROYC,1,[2],1,2,1,2,9,7,1
GER,9260,Tim Böger,Finn Böger,HSC,[4],1,2,1,3,1,12,8,2
GER,9258,Alexander Holzapfel,Arne Wittemer,PSVK,2,4,[5],3,2,4,20,15,3
GER,9251,Lena Stückl,Felix Brockerhoff,DTYC,3,3,3,[4],4,3,20,16,4
GER,9189,Hendrik Schultz,Ute Oberländer,SCLW,[5],5,4,5,5,5,29,24,5
GER,8519,Silvio Hilbrich,Marcus Wagner,YSC-SS,[7],6,6,7,6,6,38,31,6
GER,8849,Martin Bernauer,Axel Dierich,MYCVD,6,[7],7,6,7,7,40,33,7
GER,9040,Harald König,Katja Frühwald-König,SRVL-S,[8],8,8,8,8,8,48,40,8
