Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
GER,9268,Henrik Schade,Sebastian Wiemer,WVW,[5],2,1,4,1,,13,8,1
GER,9256,Jens Biederer,Aron Tellen,HSC,[3],1,3,1,3,,11,8,2
GER,9234,Norbert Dasenbrook,Sven Meier,KSW,[4],3,2,3,4,,16,12,3
GER,9260,Tim Böger,Thomas Tschentscher,HSC,1,4,[9],6,2,,22,13,4
GER,8928,Andreas Porth,Thorsten Pösch,,2,5,4,2,[10],,23,13,5
GER,9066,Peter Gerdts,Christian Labenz,HSC,[8],6,6,5,7,,32,24,6
GER,9151,Walter Steding,Hans-Werner Steding,HSC,6,7,5,8,[11],,37,26,7
GER,9090,Jens-Peter Schlomka,Martin Schöler,TSVS,7,[9],7,9,5,,37,28,8
GER,9169,Rayan Schöner,Markus Schöner,,[9],8,8,7,6,,38,29,9
GER,8750,Mirco Gantenberg,Jacob Niewiarra,,10,10,[11],10,9,,50,39,10
GER,8825,Andreas Jungclaus,Michael Heyder,HSC,[12],12,10,11,8,,53,41,11
GER,8932,Christian Henge,Katja Henge,OSG,13,11,[14],12,12,,62,48,12
GER,9040,Harald König,Katja Frühwald-König,SRVL-S,11,13,12,13,[15],,64,49,13
GER,8282,Marc Morisse,Jonas Harnacke,ASV,[14],14,13,14,13,,68,54,14
