Sail,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,T,N,Nr
GER,9101,Maike Roos,Morten Roos,SVWU,1,[3],2,1,7,4,1
GER,9189,Hendrik Schultz,Ute Oberländer,SCLW,[2],1,1,2,6,4,2
GER,9066,Peter Gerdts,Christian Labenz,SVWU,[3],2,3,3,11,8,3
GER,8282,Marc Morisse,Jonas Harnacke,ASVIA,4,[5],5,4,18,13,4
GER,8806,Anna Hauschild,Sebastian Wiemer,SCS,7,4,4,[10 DNC],25,15,5
GER,8849,Axel Dierich,Martin Bernauer,MYCVD,5,6,[10 DNC],5,26,16,6
GER,8418,Felix Weißensteiner,Tobias Borchert,SCHA,8,7,[10 DNC],10 DNC,35,25,7
GER,8607,Jannis Bachmann,Stephan Bachmann,ESV Ringsee,6,[10 DNC],10 DNC,10 DNC,36,26,8
GER,8519,Rainer Heldt,Marcus Wagner,YSC-SS,9,[10 DNC],10 DNC,10 DNC,39,29,9
