Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Boat Name,Points Total,Points Netto,Place
GER,8747,Martin Kittsteiner,Oliver Stieglitz,HSC,1,4,4,1,,,,1
GER,9102,Walter Steding,Hans-Werner Steding,HSC,2,2,3,4,,,,2
GER,8903,Steve Kwee,Hanno Weimer,HSC,4,DNC,1,3,,,,3
GER,9144,Anna Lienau,Ulf Denecke,,3,3,DNC,2,,,,4
GER,9030,Andréas Jungclaus,Katja Henge,HSC,5,6,DNC,5,,,,5
GER,9131,Jörn Wille,Martin Bergmann,MSC,DNC,1,2,DNC,,,,6
GER,8989,Leif Koch,Nick Brandt,NRV,6,8,5,11,,,,7
GER,8686,Markus Hintz,John Christiansen,HSC,7,5,DNC,7,,,,8
GER,8389,Hilke Bölts,Denis Rumohr,WeiSe,8,9,DNC,10,,,,9
GER,8377,Jan Osmers,Laura Gnotke,,DNC,DNC,6,8,,,,10
GER,9057,Stefan Worm,Johannes Kindermann,RYC,DNC,DNC,DNC,6,,,,11
GER,9169,Rayan Schöner,Markus Schöner,,DNC,7,DNC,DNC,,,,12
GER,8522,Dirk Lübbers,,OSG,DNC,10,DNC,12,,,,13
GER,5402,Stephan Ramm,Clara Trommer,,DNC,DNC,DNC,9,,,,14
