Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Boat Name,Points Total,Points Netto,Place
GER,8747,Martin Kittsteiner,Oliver Stieglitz,HSC,1,1,2,1,,,,1
GER,9102,Walter Steding,Hans-Werner Steding,HSC,3,3,4,2,,,,2
GER,9057,Stefan Worm,Johannes Kindermann,RYC,4,4,5,3,,,,3
GER,9144,Anna Lienau,Ulf Denecke,,2,2,9,4,,,,4
GER,9030,Andréas Jungclaus,Katja Henge,HSC,5,7,3,5,,,,5
GER,8989,Leif Koch,Nick Brandt,NRV,10,6,8,6,,,,6
GER,8377,Jan Osmers,Laura Gnotke,,8,5,11,7,,,,7
GER,5402,Stephan Ramm,Clara Trommer,,9,8,10,9,,,,8
GER,8903,Steve Kwee,Hanno Weimer,HSC,6,DNC,6,DNC,,,,9
GER,9169,Rayan Schöner,Markus Schöner,,DNC,DNC,1,DNC,,,,10
GER,8686,Markus Hintz,John Christiansen,HSC,7,DNC,7,DNC,,,,11
GER,8389,Hilke Bölts,Denis Rumohr,WeiSe,11,9,DNC,8,,,,12
