Nation,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,R6,R7,R8,Boat,Total,Nett,Rank
RSA,8471,Hans Rogotski,CJ Milln,PYC,(4.0),1,1,3,3,1,1,3,Fish Eagle,17,13,1st
RSA,8789,Amber de Dekker,Warwick Ham,PSC,2,2,2,1,2,3,(5.0),1,seven of nine,18,13,2nd
RSA,7608,Thomas Funke,Sean Hurter,PYC,1,3,3,2,1,2,2,(5.0),Gus,19,14,3rd
RSA,8406,Christian Holm,Diettmar Holm,PSC,3,(6.0),5,4,5,4,3,2,Bron's boat,32,26,4th
RSA,8719,Luca D,Greg Barnard,PSC,5,4,4,(6.0),6,5,4,4,Kaptein,38,32,5th
RSA,7722,Dudley Thomson,Allan Lethwaite,BSC,(6.0),5,6,5,4,6,6,6,Sensation,44,38,6th
RSA,8587,Andrew Arthur,Andrew Arnold,ESC,7,7,7,7,7,8,(10.0 DNC),10.0 DNC,Two dogs,63,53,7th
RSA,5183,Gideon v Zyl,Tjaart v Zyl, ,8,8,8,(10.0 DNC),8,7,10.0 DNC,10.0 DNC,Tinker,69,59,8th
RSA,6400,Ian Campbell,Lambert Colyn,BSC,9,9,9,(10.0 DNC),9,10.0 DNC,10.0 DNC,10.0 DNC,Easy Rider,76,66,9th
