Segelnummer,,Rorsman,Gast,Klubb,1,2,3,4,5,Sum,Plats
SWE,8926,Ebbe Rosén,Olle Wenrup,Mälarhöjdens KS,1,1,1,1,(DNS),4,1
DEN,7017,Gelen Mack,Wilhelm Johanisson,KSSS/RFSYC,2,5,-7,2,2,11,2
SWE,8912,Tom Hastenpflug,Tobias Bretschneider,SSÅV,5,(DNF),5,3,1,14,3
SWE,7937,Oscar Angervall,Johan Barne,GKSS,3,2,6,4,-6,15,4
SWE,8651,Peter Andersson,Per-Eric Thörnström,SS Viken-Ägir,8,3,3,-8,3,17,5
SWE,8655,Kalle Nilsson,Joakim Peterson,SS Kaparen,6,-15,2,5,5,18,6
SWE,8787,Lars Bjerke,Tore Reinhold,BKSS,-10,6,9,6,4,25,7
SWE,8581,P-A Hallberg,Frank Bach,LJSS/SSN,11,7,4,-14,7,32,8
SWE,8054,Lasse Norberg,Andreas Carlsson,Vänersborgs SS,4,8,12,-13,8,32,9
SWE,7343,Lars Hultgren,Axel Hultgren,Råå Jolleklubb,7,-17,8,9,16,40,10
SWE,8837,Tord Lawner,Tomas Gustafsson,BKSS,9,10,-15,10,11,40,11
SWE,8257,Johan Johansson,Anders Ekberg,BKSS,-17,14,10,7,10,41,12
SWE,9092,Knut Hastenpflug,Jana Hastenpflug,SSÅV,13,-18,13,12,9,47,13
SWE,8917,Jesper Fowelin,Tomas Jönsson,ÖLSS,14,12,11,11,-14,48,14
SWE,9107,Sven Flood,Pia Åhlund,BKSS,-19,4,14,16,15,49,15
SWE,8945,Curt Lestrup,Johan Calvert,BKSS,12,13,-17,15,12,52,16
SWE,7145,Lars Bååth,Hans Lindh,BKSS,16,-19,18,17,13,64,17
SWE,8327,Hanna Bach,Fredrik Bach,SSN,15,16,16,18,-18,65,18
DEN,9109,Hans Genefke,Finn Angelo,Hellerup Sejlklub,18,11,DNF,(DNS),17,67,19
SWE,5031,Rasmus Tengblad,Niclas Möller,BKSS,20,19,19,DNF,(DNS),79,20
