IRL,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
IRL,,Ronan Kenneally,Charles Dwyer,MBSC,2,1,1,1,1,,,1
IRL,,Michael O'Brien,Kieran O'Leary,MBSC,,4,3,2,3,1,,2
IRL,,Ewen Barry,Martin Almond,MBSC,1,3,2,,,3,,3
IRL,,James O'Brien,Stanley Browne,MBSC,,,,3,2,2,,4
IRL,,Colin Barry,Michael Mc Donnell,MBSC,,2,4,4,,,,5
IRL,,Brian Jones,Dale Spoonley,MBSC,,,,,,,,6
IRL,,Chris Marwood,Stan Reynolds,MBSC,,,,,,,,7
IRL,,Wade Cuppage,Jennifer Cuppage,MBSC,,,,,,,,8
