Nation,SAIL NO:,HELM,CREW:,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Points,Discard 1,Discard 2,Discard 3,Points,Place
IRL,7973,Ronan Kenneally,John O'Gorman,,2,2,1,1,1,2,11,11,11,1,43,11,11,11,10,1
IRL,8752,Michael O'Brien,Kieran O'Leary,,1,1,4,3,3,4,3,2,2,7,30,7,4,4,15,2
IRL,8694,James O'Brien,Steve Cooper,,10,6,6,5,5,3,1,1,1,4,42,10,6,6,20,3
IRL,8269,Colin Barry,Michael Mc Donnell,,9,7,5,2,2,1,6,11,6,11,60,11,11,9,29,4
IRL,7995,Brian Jones,Dale Spoonley,,5,5,7,10,10,10,5,3,3,3,61,10,10,10,31,5
IRL,8072,Chris Marwood,Stan Reynolds,,6,8,2,10,10,10,4,4,5,2,61,10,10,10,31,5
IRL,8216,Gary Frost,Ken O'Neill,,7,9,9,4,4,5,2,11,4,7,62,11,9,9,33,7
IRL,8309,Ewen Barry,Martin Almond,,3,3,3,10,10,10,11,11,11,11,83,11,11,11,50,8
IRL,848*,Wade Cuppage,Davy O'Connell,,4,4,8,10,10,10,11,11,11,11,90,11,11,11,57,9
IRL,8203,Mark Colins,John Ryan,,19,19,19,19,19,19,11,11,11,12,159,19,19,19,102,10
