Nation,Boat no,Helm,Crew,,,Pts,Pos
GBR,8555,Charlie Walters,Steve Hunt,,,7,1st
GBR,8694,Andy Williams,Andy Edmonds,,,10,2nd
IRL,0,Ewen Barry,Rob Gill,,,17,3rd
USA,0,Aaron Ross,Gary Frost,,,27,4th
GBR,8678,Jim Berry,Rich Berry,,,29,5th
IRL,0,Michael O'Brien,Kieran O'Leary,,,36,6th
IRL,0,Ronan Kenneally,John O'Gorman,,,48,7th
IRL,8532,James O'Brien,Sandy Rimmington,,,50,8th
GBR,0,Tom Clayton,Connor Ross,,,51,9th
IRL,0,Colin Barry,Andrew Welland,,,52,10th
IRL,0,Chris Marwood,Gavin Burnell,,,60,11th
IRL,0,Brian Jones,Dale Spoonley,,,62,12th
