Nation,Sail No,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,Pts,Pos
RSA,8340,Graeme Willcox,Alan Haylett,VLC,1,1,1,12 DNC*,12 DNC*,1,1,1,1,1,1,9,1st
RSA,8537,Steve Hegerstrom,Rob Hancock,PYC,2,6*,7*,2,1,3,2,3,2,2,2,19,2nd
RSA,406*,Peter Funke,Thomas Funke,TYC,7*,2,2,3,3,4,5,7*,4,5,4,32,3rd
RSA,8406,Rudolph Holm,Kyle Klaas & Grant,PSC,5*,7*,4,5,4,5,3,2,3,3,5,34,4th
RSA,8121,Albrecht Holm,Warwick Ham,PSC,4,3,5,1,2,2,4,4,12 DNC*,12 DNC*,12 DNC,37,5th
RSA,7457,Phil Bennett,Mark Abbotts,VLC,3,5,3,4,5,6,12 DNF*,6*,5,4,3,38,6th
RSA,8789,Tony Murray,Kobus Holtzhauzen,PSC,6,4,6,8,6,7,6,5,6,12 DNF*,12 DNC*,54,7th
RSA,6256,Gordon Quarmby,Scott Quarmby,PSC,10,9,12 DNF*,6,7,12 DNC*,12 DNC,12 DNC,12 DNC,12 DNC,12 DNC,92,8th
RSA,8211,Rudy McNeill,Lloyd McNeill,PYC,9,10,8,7,12 DNC*,12 DNC*,12 DNC,12 DNC,12 DNC,12 DNC,12 DNC,94,9th
RSA,8615,Belinda Fraser,Adrian Gornall,PSC,12 DNC*,12 DNC*,12 DNC,12 DNF,12 DNC,12 DNC,12 DNC,12 DNC,7,6,12 DNC,97,10th
RSA,8584,Hans Rogotzki,Peter Roos,PSC,8,8,12 DNF*,12 DNC*,12 DNC,12 DNC,12 DNC,12 DNC,12 DNC,12 DNC,12 DNC,100,11th
