Nation,Sail No,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,Pts,Pos
RSA,8340,Graeme Willcox,Alan Haylett,VLC,1,1,1,1,1,3*,5,1st
RSA,7682,Rob Willcox,Ditmar Herrmann,VLC,2,2,4*,3,2,1,10,2nd
RSA,8406,Rudolph Holm,Rick Shearar,PSC,3*,3,2,2,3,2,12,3rd
RSA,7457,Phil Bennett,Mark Abbotts,VLC,5*,4,3,5,5,4,21,4th
RSA,8615,Hans Rogotski,Peter Roos,PSC,4,5,5,4,4,6 DNC*,22,5th
