Nation,Sail No,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,Pts,Pos
RSA,8340,R Willcox,A Haylet,VLC,4,1,1,6,4,1,1,1,DNC,27.7,1st
RSA,7722,K Klaas,Charles Crosby,PSC,1,3,3,1,8,6,3,4,DNC,50.8,2nd
RSA,406*,P Funke,C Wlotzka,PSC,DNF,9,11,2,1,5,7,2,2,64,3rd
RSA,8406,R Holm,R Shearer,PSC,9,2,2,5,5,7,5,7,5,72,4th
RSA,8445,P McCosh,T Forbes,Zimbabwe,RDG(10),6,5,3,9,2,2,9,8,72.4,5th
RSA,7457,P Bennett,M Abbotts,VLC,2,5,9,4,3,8,8,6,7,79.4,6th
RSA,8537,S Hegerstrom,W Langhout,PYC,DNF,7,8,8,2,3,4,12,3,81.4,7th
RSA,8615,H Rogotski,P Roos,VLC,3,4,4,9,11,13,6,8,DNC,98.4,8th
RSA,8091,S Kuhn,D Isaac,PSC,5,8,6,10,14,11,9,10,1,99.7,9th
RSA,8789,A Murray,B Owen,PSC,DNF,12,7,11,7,4,11,3,4,99.7,10th
RSA,8121,A Holm,W Ham,PSC,8,10,10,7,6,9,13,5,6,107.4,11th
RSA,4902,A Daehnke,S Pawlowski,PSC,RDG(11.7),11,14,12,10,12,14,13,DNC,139.7,12th
RSA,7278,T Fischer,J Honeywill,VLC,DNF,13,12,14,12,10,12,11,10,142,13th
RSA,7276,R Dutton,L Dutton,FBYC,DNF,14,OCS,DNC,DNC,DNC,10,15,11,166,14th
RSA,7525,N Abbotts,K Holsthausen,VLC,DNF,DNC,13,DNC,DNC,DNC,15,14,9,167,15th
RSA,8520,A Baker,G Johnson-Barker,PSC,DNC,DNC,DNC,13,13,DNC,16,DNC,DNC,175,16th
