Nation,Sail,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Place
RSA,7682,P Willcox,K Herrmann,VLC,3*,2,3,1,1,7,1
RSA,8340,G Willcox,A Haylett,VLC,4*,1,2,2,2,7,2
RSA,7457,P Bennett,M Abbotts,VLC,1,3,1,5*,3,8,3
RSA,7821,J Lindemann,T Archer,VLC,2,5,5,7*,4,16,4
RSA,8406,R Holm,R Schearar,PSC,6,4,4,6,7*,20,5
RSA,8789,A Murray,P Roos,PSC,5,6,6,4,6,21,6
RSA,8673,T Funke,P Funke,TYC,10 DNC*,10 DNC,10 DNC,3,5,28,7
RSA,8615,H Rogotzki,N Abbotts,VLC,10 DNC*,10 DNC,10 DNC,8,8,36,8
RSA,74571*,N Armstrong,P Wieman,VLC,10 DNF*,7,10 DNC,10 DNC,10 DNC,37,9
