Nation,No.,Skipper,Crew,Name,1,2,3,4,5,6,7,State,Inv,Points,Place
AUS,8638,Sandy Higgins,Simon Gorman,Binks Yacht Fittings,1,1,2,3,1,3,2,SA,1,11.7,1
AUS,8696,Carter Jackson,Will McDonald,Loose Unit,11,11,1,1,4,16,12,NSW,R,60,2
AUS,8738,Brett van Munster,Robert Woodman,Two Minute Noodles Tour,3,4,10,6,11,4,7,NSW,R,62.4,3
AUS,8644,Dave Porter,Paul Robinson,Go To Red,17,7,5,2,19,2,6,NSW,4,63.7,4
AUS,8089,Phil Gray,Richard Machin,The Shita,2,2,7,36,25,11,1,Qld,3,67,5
AUS,8499,Dave Colebatch,Pip Pearson,Blue Slip,R,14,3,4,6,8,4,SA,R,67.4,6
AUS,8618,Peter Hewson,Bob Fennell,Saltwater Wine,9,15,9,9,3,5,11,NSW,R,77.7,7
AUS,8710,John Mitchell,Ken Mitchell,Mitchell Sails,7,3,8,11,29,17,3,NSW,2,78.4,8
AUS,8711,Alan Bessell,Paul Marsh,Furballs,8,5,18,8,28,7,9,SA,R,90,9
AUS,8577,Isaac Noble,Luke White,Noble Engineering,16,13,4,13,5,18,13,Qld,10,97,10
AUS,7901,Damien Carey,Marcos Cooper,Vintage Crop,6,8,16,17,23,14,5,SA,7,100.7,11
AUS,8740,Ian Burford,Nick Manhood,Smashing New Shackles,12,12,6,5,14,21,17,SA,R,100.7,12
AUS,8398,Bill Edwards,Uwe Kruger,Filthy Florrie,10,6,27,7,7,30,20,NSW,9,112.7,13
AUS,8603,Ian Dunn,David Clayton,Show Me The Money,5,10,20,19,12,20,16,NSW,R,117,14
AUS,8044,John Davidson,Mick Patrick,Social Narcotic,15,17,11,16,10,13,R,Qld,5,118,15
AUS,8272,Grant McGowan,Phil Webb,WESS,4,21,29,25,18,10,8,SA,8,120,16
AUS,8185,Earle Alexander,Ken Lockenby,Earle Grey,20,19,15,20,16,9,10,Qld,R,125,17
AUS,8183,Nicholas Bryant,Sam Gill,Elusive,14,9,13,14,27,27,15,WA,R,128,18
AUS,7534,Jay Brown,David Delaine,Alwight,13,18,26,22,15,31,14,SA,16,144,19
AUS,8292,Peter Mitchell,Mark Scrymgour,Zoom,22,24,21,12,13,34,18,SA,11,146,20
AUS,7508,Rob Napier,Adrian Rae,Malpractice,26,35,14,24,24,6,21,UK,,150.7,21
AUS,8182,Anthony Gaunt,Michael Duffeild,Sots,23,16,25,15,31,19,19,WA,6,153,22
AUS,7329,Steve Edwards,Richard Kleish,Dry Reach,31,33,19,18,2,23,31,SA,R,155,23
AUS,8176,Marcos Vivian,Brendon Brittliffe,Snout,R,30,33,27,8,1,28,WA,14,156,24
AUS,7904,Sam Cronin,Brett Averay,Savage Live Worms,21,23,36,28,9,26,25,NSW,R,168,25
AUS,8093,Martin Webb,Stewart Lyle,Frontrunner,19,34,12,26,30,22,23,Qld,R,168,26
AUS,8399,John Bagshaw,Richard Gorrell,Aeolian Again,24,25,24,32,17,15,29,NSW,15,170,27
AUS,7231,Peter Volkmer,Dean Heneker,Big Time,R,20,28,21,21,24,24,SA,12,174,28
AUS,8578,Geoff Holden,Matthew Holden,Buddah,30,27,22,10,32,32,26,NSW,R,183,29
AUS,8503,David Collie,Tim Sampson,On The Job,25,28,23,31,26,25,22,Qld,R,185,30
AUS,8041,Ben Hunter,A Maschmadt,Lunarsea,18,32,35,37,20,12,35,SA,R,188,31
AUS,8589,Sandra Jones,Mark Bother,The Groove,28,26,17,38,34,38,27,Qld,R,204,32
AUS,8395,Simon Regan,Ben Regan,Burdens Of Being Upright,27,R,34,23,22,28,,Qld,R,211,33
AUS,7977,Graham Payn,Michahelle Payn,Bird On A Wire,29,22,31,33,37,35,33,NSW,R,219,34
AUS,8648,Jeff Robinson,Angelo Quatro,www.watchout.au,34,31,30,30,35,29,34,NSW,R,224,35
AUS,7338,Adrian Cooper,Amy Cooper,Where To Now,32,29,32,34,38,33,32,SA,17,228,36
AUS,7070,Warren Carey,John Boomsma,Think Pink,33,37,,29,33,R,30,SA,R,239,37
AUS,6344,John Willoughby,B Willoughby,Green Beaver,35,36,37,35,36,37,36,SA,,251,38
AUS,8512,Edward Cox,Adam Linton,Assetically Challenged,,,,,,,,NSW,13,282,DNA
AUS,8396,Richard Needham,Guy Robertson,Go Itchi Go,,,,,,,,NSW,,282,DNA
