Nation,Boat no,Helm,Crew ,Club,Race 1,Race 2,Race 3,Total,place
GER,,Henrik Schultz,Ute Oberlaender,,1,6*,3,4,1
LUX,,Pierre Kieffer,Jean Paul Tousch,,4,1,6*,5,2
FRA,7941,Veronique Brenet,Jean-Pierre Peter,,5*,4,2,6,3
GER,,Alex Cross,Falko Braun,,7*,2,5,7,4
FRA,,Francis Doerenbecher,Dan Beltzung,,8*,3,4,7,5
FRA,8484,Philippe Blanchard,Paul Bendiyan,,10*,7,1,8,6
FRA,,Olivier Kraft,Andreas Goeggel,,3,5,11*,8,7
FRA,,Jean Baptiste Dupont,Georges Bendiyan,,2,9*,7,9,8
GER,,Franck Dirk,Stefan Kempf,,6,15*,8,14,9
FRA,,Marcel Buffet,Julien Beltzung,,14*,8,9,17,10
FRA,,Robert Lehmann,Bernard Edel,,9,10*,10,19,11
FRA,,Jocher Heydolph,Manfried Enrejat,,13*,11,12,23,12
GER,,Andrews Roller,Maximilian Roller,,11,12,17 DNF*,23,13
GER,8052,Anne Nehrenberg,Nero Nehrenberg,,12,14*,13,25,14
FRA,,Bruno Dehais,Benoit Dehais,,15*,13,15,28,15
FRA,,Romaric Roussie,Gregor Jaecky,,17 DNC*,16,14,30,16
