Nation,Boat No,Helm,Crew,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Crew Club,,place
FRA,8484,Philippe Blanchard,Charles Maire,A C D'ALSACE LORRAIN,1,1,1,3,1,4*,A O G STRASBOURG,7,1
GER,0,Dirk Frank,Stefan Kempf,ALLEMAGNE,2,7*,2,1,3,1,,9,2
SUI,8077,Catherine Houriet,Gil Donze,SUISSE,3,3,4,4,2,7*,,16,3
FRA,0,Francis Doerenbecher,Philippe Wolff,C N DE SCIEZ,4,2,3,7,14 DNF*,3,A C D'ALSACE LORRAIN,19,4
GER,0,Alexander von Mertens,Martin Maal,ALLEMAGNE,5,4,5,2,8,14 DNF*,,24,5
FRA,7941,Veronique Brenet,Jean-Pierre Peter,A C D'ALSACE LORRAIN,6,5,14 DNS*,9,4,2,A C D'ALSACE LORRAIN,26,6
GER,8562,Jochen Heydolph,Fabian Martyson,ALLEMAGNE,14 DNF*,6,6,8,6,5,,31,7
GER,0,Holger Medtke,Frank Heimburger,ALLEMAGNE,8,8,7,6,7,9*,,36,8
FRA,0,Robert Lehmann,Bernard Edel,A C D'ALSACE LORRAIN,14 DNS*,14 DNS,8,5,9,6,A C D'ALSACE LORRAIN,42,9
FRA,0,Marcel Buffet,Clemens Pirkor,CV PARIS,7,9,14 DNF*,14 DNF,5,14 DNF,,49,10
GER,0,Juergen Feuerhake,Anne Nehrenberg,ALLEMAGNE,14 DNF*,14 DNS,9,10,10,8,,51,11
GER,0,Stefan Muller,Pascal Roquette,ALLEMAGNE,14 DNF*,10,10,11,11,10,,52,12
FRA,0,Gregor Jaecky,Romaric Roussie,A C D'ALSACE LORRAIN,14 DNF*,14 DNS,11,12,12,14 DNF,CV PARIS,63,13
