licences,Boat No,Helm,Crew ,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,points,place
FRA,8902,Philippe Boite,Fabrice Toupet,CVSQ,2,1,1,6*,1,1,6,1
FRA,,Martin Peculier,Pierre Jean Gallo,S N O NANTES,1,6*,5,1,4,4,15,2
FRA,,Xavier Broise,Jamonieres Nicolas Des,CERGY VOILE 95,7*,2,2,3,7,3,17,3
FRA,8870,Christian Silvestre,Christian Vallaud,CVSQ,6,8*,3,2,5,2,18,4
FRA,,Serge Gubri,Jean Claude Ancelot,C V SEINE-PORT,8,4,4,5,3,19*,24,5
FRA,,Antoine Lafortune,Geraud Lafortune,C V SEINE-PORT,3,3,15*,7,6,6,25,6
FRA,,Nicolas Guillou,Guillaume Got,S N P H,16*,9,6,4,2,5,26,7
FRA,,Nicolas Martin,Jordane Lafortune,C V SEINE-PORT,4,11,9,10,9,16*,43,8
FRA,,Alain Preel,Damien Trouillet,C.V.S.A.,5,14,24 DNS*,8,12,7,46,9
FRA,,Francois De Lisle,Herve Brillaud,C N FERRET,9,5,10,13*,11,12,47,10
FRA,,Elsa Hardouin,Sophie Biecheler-Fiocconi,S N P H,11,7,12*,12,8,9,47,11
FRA,,Patrick Perrault,Francois Cornu,C.V.S.A.,12,12,8,9,13*,10,51,12
FRA,,Alain Ferec,Basile Geron,S N P H,15*,15,7,14,14,8,58,13
FRA,,Thomas Pype,Jean Pierre Noclain,C V VALENCIENNES,10,18*,14,11,10,15,60,14
FRA,,Michel Boiry,Jerome Legeai,CV PARIS,14,10,13,19*,15,11,63,15
,,Gennart Vandersteen,Gennart Gene,,20*,19,11,17,17,14,78,16
,,Fletcher Giancarlo Scarsi,Bertrand Lapeyre,,18,13,18,15,21*,17,81,17
FRA,,Pierre-Jerome Coulmin,Vincent Peter,WIND 14,19,22*,17,18,16,13,83,18
FRA,,Patrice Marcq,Francois Lefebvre,S N P H,21*,21,16,16,18,21,92,19
FRA,,Bernard Blondy,Roger Chabaud,C V VALENCIENNES,17,16,19,20,20,24 DNF*,92,20
FRA,8711,Eric Quemard,Dominique Lambard,CV PARIS,13,17,21,22*,22,20,93,21
FRA,,Vincent Eude,Jacques Sipan,C N PAUL VATINE,22*,20,20,21,19,18,98,22
FRA,,Elisabeth Neidhart,Jean-Paul Lozouet,S R ROCHELAISES,23,23,24 DNF*,24 DNS,24 DNS,24 DNS,118,23
