Numer,sternik,załogant,klub,1,2,3,4,5,6,7,8,9,10,11,suma,#
DEN 8828,Michael Wonterghem,Fabiola Wonterghem,Sorg Sejlforening,DNF*,2,3*,2,2,2,1,1,1,1,1,13,1
POL 7957,Jakub Pawluk,Michał Redmerski,AZS UW,3,3,2,1,4*,3,2,2,4*,2,2,20,2
POL 8665,Bartosz Makała,Łukasz Skrzycki,YK Stal Gdynia,2,1,DNF*,DNF*,1,5,5,3,2,3,3,25,3
POL 7669,Antonina Żółtowska,Piotr Żółtowski,AZS Poznari/SKZ Hestia Sopot,1,5*,4,4,DNF*,4,4,4,3,4,5,33,4
GER 8721,Daniel Czeniga,Martin Lietz,Segelverein Unterer Kyritzer See,5,8*,DNF*,3,5,6,6,7,6,5,6,49,5
GER 8947,Ralf Schneiderwind,Axel Priegann,SLRV,DNF*,4,1,5,3,1,3,5,DNF*,DNF,DNF,62,6
POL 8129,Konrad Plewa,Jerzy Plewa,ZKZ Zbaszyn,4,13*,5,6,9*,7,9,6,7,DNF*,DNF*,66,7
POL 9015,Igor Graczyk,Maciej Graczyk,ZKZ Zbaszyri,6,10,7,7,7,8,7,11*,DNF*,6,9,66,8
POL 8451,Dariusz Rzadkowski,Krzysztof Rzadkowski,ZKZ Zbaszyri,7,7,10,DNF*,8,9,10,9,8,8,DNF*,76,9
GER 8663,Mieczysław Szwed,Jacek Szwed,,DNF*,9,8,9,10,11*,8,8,9,9,9,79,10
GER 8222,Michał Zera,Łukasz Grabia,UKS Barnim Goleniow,DNF*,6,6,10,6,DNF*,DNF,DNF,5,7,4,84,11
POL 8483,Mariusz Michalski,Piotr Duma,YK Stal Gdynia,DNF*,14,12,11,16,14,15,15,11,DNF*,7,115,12
GER 6611,Krystian Doch,Kazimierz Pelasik,Jacht Klub Kamien Pomorski,DNF*,11,DNF*,8,12,12,13,10,10,DNF,DNF,116,13
GER 5350,Maciej Piasecki,Andrzej Borowiak,Rzemi6Inik Poznan,8,15,11,12,13,10,14,13,DNF*,DNF*,DNF,116,14
GER 8005,Zbigniew Monkiewicz,Beata Małecka-Monkiewicz,,DNF*,DNF*,DNF,DNF,15,16,11,14,12,10,DNF,138,15
POL 4752,Romuald Szukała,Bartosz Zimny,ZKZ Zbaszyri,DNF*,12,DNF*,DNF,14,13,12,12,DNF,DNF,DNF,143,16
POL 8663,Karol Tobolski,Jakub Tobolski,,DNF*,DNF*,9,DNF,11,15,DNF,DNF,DNF,DNF,DNF,155,17
GER 8665,Adam Domżalski,Jakub Doruch,,DNF*,DNF*,DNF,13,DNF,DNF,16,16,DNF,DNF,DNF,165,18
GER 8674,Andrzej Kubiak,Marek Milewski,,DNF*,DNF*,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,180,19
