Country,Sail NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Netto,Place
FRA,4808,Nicholas Loday,Nicolas Fédorenko,,6,1,23,2,2,1,47,"17,7",1
FRA,4702,Jean-Marie Daniélou,Jacques Chouraki,,8,10,6,30,1,2,83,"46,7",2
GBR,4689,Peter White,John Davies,,11,3,5,1,29,15,89,"53,7",3
GBR,4079,Hugh Bourn,Michael Bryant,,9,2,61,9,3,12,124,"56,7",4
GBR,4830,Mike Arnold,Alan Bailey,,5,8,2,11,34,14,104,64,5
GBR,4798,Peter Colclough,Stephen Jones,,2,33,13,5,13,18,114,75,6
SWE,3858,Karl-Erik Nilsson,Lars Larsson,,15,6,19,3,8,17,100,"75,4",7
SWE,4316,Göran Eckeström,Jan Calvert,,41,32,8,8,5,8,137,90,8
FRA,4571,Bruno Lévesque,Michel Guezou,,77,11,4,16,6,26,174,"90,7",9
FRA,4639,Marcel Buffet,Thierry Moreau-Defarges,,85,18,15,6,21,4,183,"91,7",10
GBR,4741,West,Williams,,13,10,49,7,30,13,158,103,11
GER,4333,Meyer,Jenssen,,10,36,45,13,10,6,156,"104,7",12
GBR,4382,Derek Farrant,Bev Moss,,16,29,47,4,9,23,162,109,13
FRA,4809,Yves Pajot,Yvon Kergreis,,21,26,28,26,7,3,"143,7","109,7",14
FIN,4626,Matti Rouhiainen,Heikki Mustonen,,17,14,38,12,63,5,184,115,15
DEN,4543,Jens Christensen,Jes Thomsen,,1,76,9,86,4,7,210,118,16
FRA,4700,Jean-François Fountaine,Pierre Fountaine,,18,76,3,10,55,9,204,"121,7",17
DEN,4489,Madsen-Mygdal H.,Carlberg,,38,5,16,15,20,75,206,125,18
SUI,4223,Urs Scherrer,Eisold,,14,22,7,31,24,54,188,128,19
GBR,4739,Derry,Chapman,,54,4,18,23,31,24,188,128,19
GER,4744,Hampe,Jenssen,,24,7,27,22,48,30,194,140,21
FRA,4667,Jérôme Langlois,Richard,,20,25,29,14,36,48,208,154,22
DEN,4314,Hans Westh,Williams,,27,20,31,18,85,29,246,155,23
FRA,4914,Pierre Bretèche,Le Soudeer,,22,31,21,20,32,67,229,156,24
GBR,4767,John Locke,Antony Pusinelli,,29,13,69,17,53,19,236,161,25
FIN,4303,Nils Lagerström,Lars Lagerström,,3,30,58,35,35,32,226,"161,7",26
FRA,4325,Bernard Reynier,François Dury,,48,38,36,40,11,10,219,165,27
FRA,4632,Patrick Oeuvrard,Rougier,,63,9,11,33,43,39,234,165,27
FRA,4646,Dominique Savelli,François-Bernard Savelli,,39,27,10,32,39,31,214,169,29
FIN,4660,Mikko Brummer,Rudi Biaudet,,37,19,20,54,45,20,231,171,30
FRA,4611,Voilerie Cheret,Drubay,,43,21,42,86,17,21,266,114,31
GER,4733,Uwe Bremenkamp,Hans Peter Petersen,,44,63,1,40,12,53,244,175,32
FRA,4680,Callamand,Legre,,47,17,62,39,15,33,249,181,33
FIN,4835,Kari Wilén,Jyri Wilén,,46,23,86,45,16,22,274,182,34
FRA,4881,Pierre Nesseler,Philippe Nesseler,,31,76,22,25,40,38,268,186,35
SWE,3106,Roy Wedin,Peter Sandsjö,,45,50,17,21,51,27,247,190,36
GER,4455,Heck,Hotzen,,25,34,35,46,27,55,258,197,37
FRA,4279,Alain Doloy,Lazennec,,12,43,55,60,14,44,264,198,38
SWE,3924,Stefan Eriksson,Sven Karlsson,,26,42,66,41,33,28,272,200,39
SWE,3956,Åke Hansson,Bengt Hansson,,33,47,24,29,41,45,255,202,40
GBR,4450,John Loveday,Alan Terry,,7,56,52,19,19,84,293,203,41
HKG,4177,Snatter,Knox,,52,15,12,86,61,34,296,204,42
FRA,4701,Pierre Sadoc,Follenfant,,35,49,54,37,18,37,266,206,43
FRA,4431,Christian Hauvette,Nicolas Vasseur,,30,61,26,77,20,41,291,208,44
FIN,4309,C. Johansson,Teddy Weber,,40,39,32,77,40,25,291,208,44
FRA,4915,François Fischer,Morandi,,34,44,33,36,44,36,263,213,46
GER,4678,Léon Brillouet,Marais,,32,76,67,53,28,11,303,221,47
FRA,4825,Mathias Dietz,Wolfgang Senghas,,4,58,60,34,37,60,287,221,47
GBR,4345,Peter Danby,Auger,,49,40,34,27,76,43,305,223,49
GBR,4780,Jerkins,Jones,,59,24,14,55,57,50,295,230,50
DEN,4122,Jan Eppers,Vögg Mule Thers,,67,28,25,43,71,40,310,233,51
DEN,4401,Serge Guillaume,Gravier,,55,54,43,38,26,42,294,233,51
GBR,4321,Robert Napier,,,77,76,44,24,52,16,325,242,53
SUI,4636,Balmas,Balmas,,64,46,37,50,47,35,315,245,54
GBR,4760,Wilson,Wilson,,19,76,53,28,85,56,353,262,55
GER,4704,Kay Ewaldsen,Egbert Lechtenböhmer,,58,37,30,77,60,49,347,264,56
MAR,4217,Georges le Troquer,Wladimir Dombrowski,,42,45,46,63,39,64,335,265,57
