Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Total,Netto,Position
FRA,8870,Gabin Micoulot,Pierre Williot,S N ENGHIEN C V ST QUENTIN,1,1,3,3,1,3,5*,7*,24,12,1
FRA,9068,Thibault Vincent,Guillaume Faugier,V G A ST MAUR VOILE C V ST QUENTIN,3*,6*,2,1,3,1,2,3,21,12,2
FRA,975,Aurelien Pierroz,Alexandre Boite,S R HAVRE S R HAVRE,2,5*,13*,2,4,2,1,2,31,13,3
BEL,8898,Bas Van Assche,Toon Van Assche,BELGIQUE,7*,2,1,6,2,7*,3,1,29,15,4
FRA,8950,Benoit Dijoux,Maxime Aroux,YC ROUEN 76,5,4,8,5,5,12*,9*,4,52,31,5
FRA,9164,Valentin Dechauffour,Pierre Gendry,S N O NANTES S N O NANTES,12*,3,5,4,6,4,13*,10,57,32,6
FRA,8729,Edouard Morin,Paul Cousin,S R HAVRE CV ST AUBIN ELBEUF,6,8*,4,12*,7,8,4,5,54,34,7
FRA,8847,Anais Pain,Anais Dechauffour,C N BAIE ST VAAST C N HAUTE SEINE,4,9*,6,7,8,6,7,9*,56,38,8
BEL,8625,Casper Martens,Stijn Oyen,BELGIQUE,9,10*,7,8,11*,5,8,8,66,45,9
FRA,8800,Francois Lafortune,Antoine Delagrange,C V SEINE-PORT C V SEINE-PORT,8,7,12*,9,9,10*,6,6,67,45,10
FRA,8002,Marine Delagrange,Vincent le Morvan,C V SEINE-PORT ASPTT TROYES,11,11,11,11,10,11,12*,14*,91,65,11
BEL,8521,Sander Smeets,Lien Van Assche,BELGIQUE,13*,13,9,13,12,9,10,16*,95,66,12
FRA,9010,Florian le Morvan,Guillaume Regnier,FRANCE,10,15*,14*,10,14,13,11,11,98,69,13
FRA,8716,Paul Roche,Ghislain de Lafforest,C V SEINE-PORT A.CARANTEC NAUTISME,14,14,10,14,15*,14,16*,13,110,79,14
FRA,8748,Antonin Robe,Clement Card,C N PAUL VATINE AEPA SECTION VOILE,15*,16*,15,15,13,15,14,12,115,84,15
FRA,8954,Anaelle Couvreux,Bastien Couvreux,AEPA SECTION VOILE AEPA SECTION VOILE,16*,12,16*,16,16,16,15,15,122,90,16
