Boat Country,Sail Number,Helm,Crew,Club,R1 28 Sep,R2 28 Sep,R3 29 Sep,R4 29 Sep,R5 29 Sep,R6 30 Sep,R7 30 Sep,Total,Nett,Rank
USA,9153,Howie Hamlin,Jon Bell,ABYC / NHYC,3,2,-8,1,1,6,4,25,17,1
GBR,9203,Nathan Batchelor,Matt Alvarado,Tynemouth SC,4,6,-11,2,2,2,2,29,18,2
USA,9072,Mike Holt,Carl Smit,Santa Cruz YC,5,1,2,-6,3,3,5,25,19,3
GBR,9215,Roger Gilbert,Ben McGran,Netley SC,-13,3,7,5,4,4,1,37,24,4
AUS,9134,Michael Quirk,Reeve Dunne,RPEYC,1,11,5,7,7,1,-14,46,32,5
SUI,9147,Caroline Jacot,Philippe Jacot,CNB,-18,5,9,4,11,5,7,59,41,6
GBR,9190,Ian Pinnell,Alex Davies,HISC/NSC,7,7,4,-20,10,11,3,62,42,7
GBR,9180,Mark Upton-Brown,Ian Mitchell,Bosham SC / HISC,9,-15,3,3,13,9,11,63,48,8
GBR,9214,Andy Smith,Johannes Tellen,MYC,8,4,14,10,-15,7,6,64,49,9
GBR,9177,Tom Gillard,Harry Briddon,Sheffield Viking SC,2,-19,6,9,14,15,13,78,59,10
RSA,8905,Graeme Willcox,James Spikesley,Netley Sailing Club,10,-12,10,12,9,10,10,73,61,11
GBR,9124,Terry Scutcher,Christian Diebitsch,Shotley Sailing Club,6,8,-19,16,5,19,9,82,63,12
GER,9169,Tim Boeger,Finn Boeger,HSC,11,10,12,14,8,12,-16,83,67,13
GBR,9085,Charlie Walters,Dougar Cram,Datchet Water SC,(29.0 DNC),29.0 DNC,1,21,6,14,8,108,79,14
GBR,8914,Tim Bird,Adam Kenney,Burton,14,9,-21,13,18,8,21,104,83,15
GBR,9126,Stuart Turnbull,Mike Priddle,Burto S C,12,13,17,8,-22,20,15,107,85,16
GBR,8970,Tom Darling,Elliott Wells,Hayling Island Sailing Club,-26,14,15,19,12,21,12,119,93,17
SUI,9163,René Betschen,Valery Jacot,CNB,19,17,13,17,21,13,-23,123,100,18
GBR,9093,Ben Iliffe,Simon Briddon,Datchet,21,16,20,11,-23,16,20,127,104,19
FRA,9150,De Kergariou Herve,De Kergariou Guillaune,CN Arradon,(29.0 DNF),20,18,15,17,18,17,134,105,20
GBR,8963,Martin Hodgson,Adrian Miles,Stone SC,15,18,16,26,16,-27,19,137,110,21
SUI,9060,Catherine Houriet,Gil Donze,CVG,23,-27,25,18,19,22,24,158,131,22
GBR,8514,Matt Rhodes,Rich Nurse,Northampton,25,22,-26,24,26,17,18,158,132,23
GBR,9155,Ben Hawkes,Laurence Milton,Castle Cove Sailing Club,16,26,22,-27,20,24,25,160,133,24
GBR,8991,Nicholas Meadow,James Read,Guernsey Yacht Club,20,23,23,22,24,23,(29.0 DNF),164,135,25
GBR,9125,Roger Deane,,Rock SC,17,24,24,23,25,25,(29.0 DNF),167,138,26
GBR,9032,Jim Blyth,Jude Beamers,Largo Bay Sailing Clyb,22,21,-27,25,27,26,22,170,143,27
GBR,8881,Neil Rabbitts,Robert Bath,Burton SC,24,25,-28,28,28,28,26,187,159,28
