Nation,Sail No,Helm,Crew,Sailing Club,R1,R2,R3,R4,R5,R6,R7,Total,Nett,Rank
GBR,9215,Roger Gilbert,Ben McGrane,Netley Sailing Club,(3),1,1,2,2,1,3,13,10,1st
GBR,9085,Charles Walters,Dougal Cray,Datchet Water SC,5,2,(7),1,1,4,1,21,14,2nd
RSA,9177,Graeme Willcox,Richard Nurse,Netley Sailing Club,2,4,2,(10 UFD),3,3,4,28,18,3rd
GBR,8963,Martin Hodgson,,Stone SC,1,3,(6),4,5,5,6,30,24,4th
GBR,8914,Tim Bird,Ian Merryfield,Burton SC,6,8,(10 DNC),3,4,2,2,35,25,5th
GBR,9155,Alex Shaw,Laurence Milton,Grafham Water Sailing Club,4,9,3,5,(10 UFD),7,7,45,35,6th
GBR,8881,Neil Rabbitts,Mike Priddle,Burton SC,(8),5,5,7,7,8,8,48,40,7th
GBR,9032,Jim Blyth,Jude B,Largo Bay SC,7,7,(10 DNC),6,6,9,5,50,40,8th
GBR,8514,Adam Kenney,Ben Illiffe,Burton SC,(10 DNC),6,4,8,10 DNC,6,9,53,43,9th
