Country,Sail,Helm,Crew,From,Race 1,Race 2,Race 3,Total,Place
USA,8715,Ethan Bixby,Hans Birkholtz,"St. Petersburg, FL.",4,2,1,7,1
USA,8776,"Alexander ""Ali"" Meller",John Hirsch/Steve Sparkman,"Annapolis, MD.",1,3,5,9,2
USA,8643,Barney Harris,Clayton James,"Arlington, VA",2,7,2,11,3
USA,8012,Henry Amthor,Douglas Amthor,"Hampton, VA",11,1,3,15,4
USA,8722,Macy Nelson,Jesse Falsone,"Baltimore, MD.",9,6,4,19,5
USA,7199,Stergios Papadakis,Mike Albert,"Durham, NC",10,5,8,23,6
USA,7092,Dustin Romey,Kevin Mehaffey,"Annapolis, MD",6,9,9,24,7
USA,8018,Arthur Anosov,Solomon Marini,"Lexington, MA",3,12,10,25,8
USA,8261,Bill Heintz,Laura Seuschek,"Bronx, NY",8,11,6,25,9
USA,8015,Rene de la Rie,Monty Schumpert,"Vienna, VA",7,13,7,27,10
BER,7093,Chuck Millican,Jim Campbell,"Southampton, Bermuda",14,4,11,29,11
USA,7068,Ted Ferrarone,J.B. Ferrarone,"Mamaroneck, NY",5,8,18 DNS,31,12
USA,8073,Katherine Long,Stephen Long,"Berwyn, IL.",12,10,12,34,13
USA,7839,Carola Cooper,Doug DeCouto,Bermuda,13,15,14,42,14
USA,8753,Robert Shewan,Kathleen Shewan,"Setauket, NY",18 DNS,14,13,45,15
USA,8645,Fred Liesegang,Dave Anderson,Long Island NY,15,18 DNS,15,48,16
USA,7793,Dave Seiple,T. Prudew,"Hilliard, OH.",16,16,16,48,17
