Nation,Sail Number,Helm,Crew,Boat Name,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Place
USA,6991,Bill Jenkins,Dan Merino,Weasel,1,1,1,1,1,5,1
USA,7152,Mike Jue,Marc Winger/Ben,7152,3,4,2,2,2,13,2
USA,6931,Bill McKinney,Teresa,Fever Pitch,4,3,3,3,4,17,3
USA,7773,John,John/Caleb,Kitty,2,2,7 DNF,5,3,19,4
USA,5507,Roger,Mike,Freebee,7 DNC,7 DNC,7 DNC,4,5,30,5
USA,6587,Bryce,Channing,Taz,5,5,7 DNF,6,7 DNF,30,6
