Nation,SailNo,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,Total,Rank
GBR,9094,Ian Pinnell,Ben McGrane,Northampton,2,4,3,1,28,2,2,2,12,1
USA,9002,Mike Holt,Carl Smit,San Francisco YC,1,1,10,5,7,8,1,1,16,2
GBR,9006,Vincent Horey,Christian Diebitsch,King George/RYA,3,2,13,10,6,3,3,3,20,3
GBR,9079,Tim Rush,Sam Pascoe,,14,5,7,2,2,1,13,5,22,4
GBR,8935,Russ Short,Andy Short,,6,9,4,9,3,5,5,4,27,5
GBR,8963,Martin Hodgson,Adrian Miles,Stone SC,7,6,9,7,1,13,4,6,31,6
GBR,9063,Jim Hunt,Norman Byrd,,5,3,14,8,5,4,8,9,33,7
GBR,9088,Andy Smith,Alex,Notts County,9,10,1,6,8,9,6,10,39,8
GBR,8835,Charlie Walters,Dougal Cram,,16,28,6,3,9,7,12,12,49,9
GBR,8906,Harry Briddon,Simon Briddon,Ogston SC,4,15,11,14,10,14,7,8,54,10
GBR,9085,Matthew Hart,Daniel Hart,Shotley SC,13,8,15,11,16,6,9,7,54,11
GBR,9075,Philippe Boite,Benjamin Thomas,CVSQ/SRH,28,13,2,4,4,10,28,28,61,12
GBR,8793,Mike Malt,Alex Knight,Weymouth,28,28,8,15,11,11,11,13,69,13
GBR,8905,Stuart Turnbull,Jason Lunn,Burton SC,11,17,12,17,14,15,10,16,78,14
GBR,8945,Neil Rabbits,Adam Kenney,Burton SC,28,7,16,13,15,28,17,11,79,15
GBR,8650,Terry Selfe,Alan Montague,Stone SC,10,14,19,18,17,12,18,18,89,16
GBR,8881,Roger Deane,Niall Ferguson,Rock/Draycot,8,11,21,24,20,19,14,17,89,17
GBR,9039,Tim Bird,Rich Nurse,Burton SC,28,16,5,12,13,17,28,28,91,18
GBR,8834,Peter Bennett,Adrian Howe,Shoreham SC,12,28,18,16,23,16,15,15,92,19
GBR,8749,Alastair Milton,Charles Milton,Helensburgh YC,15,12,25,20,24,20,16,14,97,20
GBR,8497,Bill Hooton,Dennis Cartwright,Burton,17,18,20,19,19,18,28,28,111,21
GBR,8860,Bobbie Johnson,Tony Merry,Burton/Teesdale SC,18,19,22,21,21,22,19,19,117,22
GBR,8780,Martin Wright,Miles Thomas,,28,28,23,23,12,21,28,28,135,23
GBR,8419,Pete Mallaband,Darrel Samanjoul,White Friars SC,28,28,17,22,18,23,28,28,136,24
GBR,7755,Chris Fox,Mark Fox,Stokes Bay SC,28,28,27,27,22,25,20,20,141,25
GBR,8583,Patrick Moore,Paul Bambridge,Tata/Port Talbot SC,28,28,24,26,25,24,28,28,155,26
GBR,8591,Dave Bell,Ian Merryfield,,28,28,26,25,26,28,28,28,161,27
