Nation,Boat No,Helm,Crew,Club,R1,R2,R3,Total,Rank
GBR,0,Tim Rush,Richard Anderton,Nottingham,1,1,1,3,1
GBR,9094,Ian Pinnell,Ian Mitchell,Hayling Island,2,2,2,6,2
GBR,0,Peter Bennett,Ollie Tooz-Hobson,Shoreham,3,4,6,13,3
GBR,0,Philip Popple,Steve Popple,Shoreham,7,5,3,15,4
GBR,8955,Ben Iliffe,Simon Lake,RYA,6,6,4,16,5
GBR,8905,Stuart Turnbull,Adrian Howe,Burton,4,3,11,18,6
GBR,8780,Martin Wright,Jeff Powell,Northampton,9,7,5,21,7
GBR,0,Stewart Scarff,Robin Hobson,Shoreham,8,8,7,23,8
GBR,8860,Bobbie Johnson,Barry Smith,Thornbury,5,11,11,27,9
GBR,0,Katie Sellar,David Seller,Burton,11,9,8,28,10
