Sail,no,Helm,Crew,Sailing club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Nett,Place
POL,9145,Jakub Pawluk,Marcin Józefowski,Sailing Legia / Golden Boats Academy Warszawa,1,1,1,1,3,3,2,4,[6],3,19,1
POL,9170,Karol Milewski,Paweł Choroba,YK Stal Gdynia PSK505,3,2,2,2,2,2,4,[5],1,2,20,2
GER,9258,Alexander Holzapfel,Finn Boeger,Post-Sportverein Koblenz VSaW,2,3,3,3,1,[4],3,2,3,1,21,3
POL,666,Michal Strusinski,Mateusz Byrski,Port Mechelinki Port Mechelinki,4,[7],6,4,4,1,1,1,2,4,27,4
POL,9140,Dominik Ostrowski,Maciej Goździk,SWOS Warszawa SWOS Warszawa,5,4,5,[6],6,5,5,3,4,5,42,5
POL,9135,Dariusz Konopczak,Paweł Henszke,YKP Szczecin YKP Szczecin,[UFD],5,4,5,8,6,9,6,8,6,57,6
POL,8665,Marcin Panek,Jakub Grabowski,PSK505 / JK Krynica Morska,8,10,9,8,[UFD],7,7,7,5,8,69,7
POL,8751,Paweł Kluczyński,Teofil Nowak,OŚ AZS Poznań OŚ AZS Poznań,10,[12],7,9,5,10,11,10,7,7,76,8
POL,8875,Mariusz Michalski,Piotr Duma,YK Stal Gdynia JKM Neptun,7,[14],10,12,7,11,10,8,14,10,89,9
POL,8656,Anna Zabłocka,Stefan Romanik,KS Centrum Żeglarskie Szczecin,13,[RET],13,11,9,8,6,11,11,9,91,10
POL,8909,Michał Kępski,Maksymilian Zaniewski,RKS Lasery Zegrze RKS Lasery Zegrze,11,8,8,7,10,9,13,12,13,[15],91,11
GER,8947,Ralf Schneidewind,Enno Wilts,PSC PSC,12,11,12,10,11,13,8,[UFD],10,12,99,12
POL,9255,Tomasz Polikowski,Adam Najmowicz,YK Stal Gdynia YK Stal Gdynia,9,9,11,[DNF],12,12,14,9,12,13,101,13
POL,8770,Jakub Gąsiorowski,Karolina Gąsiorowska,YK Stal Gdynia YK Stal Gdynia,14,13,[DNC],DNC,13,15,12,13,15,14,127,14
POL,8463,Jacek Ludwiczak,Stanisław Karmoliński,YK Stal Gdynia,[DNC],DNC,DNC,DNC,UFD,14,15,14,9,11,135,15
POL,8736,Jan Sibilski,Andrzej Borowiak,ŻLKS Poznań ŻLKS Poznań,6,6,[RET],DNC,DNC,DNC,DNC,DNC,DNC,DNC,138,16
POL,8747,Anna Jabłońska,Andrzej Zdrojek,,[DNC],DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,162,17
