Kraj,Numer,Sternik,Załogant,Klub żeglarski sternika,Wyścig 1,Wyścig 2,Wyścig 3,Wyścig 4,Wyścig 5,Wyścig 6,Wyścig 7,Klub żeglarski załoganta,Punkty,Miejsce
POL,9170,Karol Milewski,Paweł Choroba,YK Stal Gdynia,[2],1,2,1,1,1,2,PSK505,8,1
POL,9140,Dominik Ostrowski,Maciej Goździk,SWOS Warszawa,1,2,1,2,2,[UFD 11],1,SWOS Warszawa,9,2
POL,9071,Marcin Panek,Jakub Grabowski,PSK505,3,[OCS 11],4,3,3,2,3,JK Krynica Morska,18,3
POL,8751,Paweł Kluczyński,Teofil Nowak,OŚ AZS Poznań,5,3,8,6,5,[UFD 11],4,OŚ AZS Poznań,31,4
POL,8909,Michał Kępski,Maksymilian Zaniewski,RKS Lasery Zegrze,6,6,9,4,7,4,[DNF 11],RKS Lasery Zegrze,36,5
POL,8028,Anna Zabłocka,Iwo Gogołkiewicz,KS Centrum Żeglarskie Szczecin,4,5,7,[DNF 11],9,5,6,KS Centrum Żeglarskie Szczecin,36,6
POL,8736,Adam Kuczyński,Andrzej Borowiak,ŻMKS Poznań,9,4,3,7,4,[DNF 11],DNF 11,ŻLKS Poznań,38,7
POL,8875,Piotr Duma,Mariusz Michalski,JKM Neptun,8,[OCS 11],6,8,8,3,5,YK Stal Gdynia,38,8
POL,8463,Jacek Ludwiczak,Grzegorz Szreder,YK Stal Gdynia,7,8,5,5,6,[UFD 11],DNF 11,YK Stal Gdynia,42,9
POL,9020,Justyna Bunar,Anna Smela,Stowarzyszenie Puchar Soliny,10,7,10,9,10,[DNF 11],DNF 11,Stowarzyszenie Puchar Soliny,57,10
