Sail,no,Helm,Crew,Sailing club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Ranking,Nett,Place
POL,9145,Jakub Pawluk,Marcin Józefowski,Sailing Legia / Golden Boats Academy Warszawa,1,1,1,1,3,3,2,4,[6],3,1,19,1
POL,9170,Karol Milewski,Paweł Choroba,YK Stal Gdynia PSK505,3,2,2,2,2,2,4,[5],1,2,2,20,2
POL,9204,Michał Strusiński,Mateusz Byrski,Port Mechelinki Port Mechelinki,4,[7],6,4,4,1,1,1,2,4,4,27,3
POL,9140,Dominik Ostrowski,Maciej Goździk,SWOS Warszawa SWOS Warszawa,5,4,5,[6],6,5,5,3,4,5,5,42,4
POL,9135,Dariusz Konopczak,Paweł Henszke,YKP Szczecin YKP Szczecin,[UFD],5,4,5,8,6,9,6,8,6,6,57,5
POL,8665,Marcin Panek,Jakub Grabowski,PSK505 / JK Krynica Morska,8,10,9,8,[UFD],7,7,7,5,8,7,69,6
POL,8751,Paweł Kluczyński,Teofil Nowak,OŚ AZS Poznań OŚ AZS Poznań,10,[12],7,9,5,10,11,10,7,7,8,76,7
POL,8875,Mariusz Michalski,Piotr Duma,YK Stal Gdynia JKM Neptun,7,[14],10,12,7,11,10,8,14,10,9,89,8
POL,8656,Anna Zabłocka,Stefan Romanik,KS Centrum Żeglarskie Szczecin,13,[RET],13,11,9,8,6,11,11,9,10,91,9
POL,8909,Michał Kępski,Maksymilian Zaniewski,RKS Lasery Zegrze RKS Lasery Zegrze,11,8,8,7,10,9,13,12,13,[15],11,91,10
POL,9255,Tomasz Polikowski,Adam Najmowicz,YK Stal Gdynia YK Stal Gdynia,9,9,11,[DNF],12,12,14,9,12,13,13,101,11
POL,8770,Jakub Gąsiorowski,Karolina Gąsiorowska,YK Stal Gdynia YK Stal Gdynia,14,13,[DNC],DNC,13,15,12,13,15,14,14,127,12
POL,8463,Jacek Ludwiczak,Stanisław Karmoliński,YK Stal Gdynia,[DNC],DNC,DNC,DNC,UFD,14,15,14,9,11,15,135,13
POL,8736,Jan Sibilski,Andrzej Borowiak,ŻLKS Poznań ŻLKS Poznań,6,6,[RET],DNC,DNC,DNC,DNC,DNC,DNC,DNC,16,138,14
