Country,Nr,Helm,Crew,Klub żeglarski,R1,R2,R3,R4,R5,R6,Pkt,M
POL,8736,Jan Sibilski,Andrzej Borowiak,ŻLKS Poznań,1,1,1,[2],1,1,5,1
POL,9170,Karol Milewski,Paweł Choroba,,4,2,2,1,2,[6],11,2
POL,9145,Jakub Pawluk,Marcin Józefowski,Sailing Legia / Golden Boats Academy Warszawa,2,3,3,4,[OCS 16],3,15,3
POL,9135,Dariusz Konopczak,Paweł Henszke,YKP Szczecin,3,[6],6,3,4,5,21,4
POL,8751,Paweł Kluczyński,Teofil Nowak,OŚ AZS Poznań,6,7,4,5,[9],2,24,5
POL,9140,Dominik Ostrowski,Maciej Goździk,SWOS Warszawa,[8],4,7,6,3,4,24,6
POL,8463,Jacek Ludwiczak,Grzegorz Szreder,Yacht Klub Stal Gdynia,5,5,5,8,[10],7,30,7
POL,8656,Anna Zabłocka,Jędrzej Bering,KS Centrum Żeglarskie Szczecin,7,9,[10],9,7,8,40,8
POL,8909,Michał Kępski,Maksymilian Zaniewski,RKS Lasery Zegrze,12,8,9,[14],5,10,44,9
POL,8747,Anna Jabłońska,Andrzej Zdrojek,PSK505 PSK505,[11],10,8,11,6,11,46,10
POL,9255,Tomasz Polikowski,Adam Najmowicz,Yacht Klub Stal Gdynia,9,13,11,10,8,[DNF 16],51,11
POL,7820,Marcin Pietrzak,Marcin O. Pietrzak,AZS / Sailing Legia,10,12,13,7,12,[DNF 16],54,12
POL,9020,Justyna Bunar,Michał Prończuk,Stowarzyszenie Puchar Soliny,[15],14,12,15,11,9,61,13
POL,8690,Karolina Skowrońska,Anna Śliwka,Sailing Legia,14,11,[15],13,13,12,63,14
POL,8212,Jacek Terpiłowski,Marcin Kozuba,PSK505,13,[DNC 16],14,12,DNF 16,13,68,15
