Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Points Netto,Place
POL,8736,Jan Sibilski,Andrzej Borowiak,ŻLKS Poznań,1,1,1,3,1
POL,9170,Karol Milewski,Paweł Choroba,YK Stal Gdynia KŻ Horn Kraków,4,2,2,8,2
POL,9140,Dominik Ostrowski,Maciej Goździk,SWOS Warszawa,2,3,3,8,3
POL,9204,Anna Zabłocka,Jędrzej Bering,KS Centrum Żeglarskie Szczecin,3,4,4,11,4
POL,8751,Paweł Kluczyński,Teofil Nowak,OŚ AZS Poznań,5,6,5,16,5
POL,8656,Tomasz Mordas,Bartłomiej Pialik,KŻ JOMITOKA Morzyczyn,6,5,6,17,6
