Nation,Sail NO,Skipper,Crew,Boat,Race 1,Race 2,Total,Pos
USA,7200,Ashley Love,,Swagman,1,1,2,1
USA,8857,Brendan Connell,,,3,2,5,2
USA,8854,Jimmy Praley,,,2,3,5,3
USA,7606,Paul Andron,,,5/DNF,5/DNS,10,4
