Nation,Boat No,Helm,Crew,Boat Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Points,Place
IRL,8987,Peter Scannell,John Dunlea,Lookadatla,1,1,1,2,1,1,[3],7,1
USA,8265,Brendan Read,John Ingalls,505,2,3,[4],1,3,2,1,12,2
CAN,9005,Thomas Kivney,Gordon Russell,Katiebear,[7],2,2,6,2,4,2,18,3
USA,8081,David Kirkpatrick,,8081,4,5,3,4,[7],3,6,25,4
USA,9183,Michael Breton,,No Retreat,3,[6],6,3,5,5,5,27,5
USA,8930,Duane Delfosse,,8930,5,4,[7],5,4,7,7,32,6
GBR,8708,Ben Greenfield,,None,6,[7],5,7,6,6,4,34,7
USA,6985,Grace Olsen,,No Surrender,9,10/DNC*,10/RET,10/DNC,8,8,8,53,8
USA,8012,Lennart Nilsson,,None,8,10/DNC*,10/DNC,10/DNC,10/DNS,10/RET,10/DNC,58,9
