Country,Sailno,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Nett,Rank
DEN,9062,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,Hellerup Sejlklub,1,1,1,(2),1,2,1,9,7,1st
GER,9070,Stefan Köchlin,Andreas Achterberg,DTYC,5,5,3,1,(22 DNC),1,2,39,17,2nd
DEN,8827,Anders Friis,Jan Møller,KDY,3,(22 DNC),6,6,2,3,4,46,24,3rd
DEN,8958,Bo Petersen,Henrik Buhl,Hellerup Sejlklub,4,(6),5,5,4,4,3,31,25,4th
SWE,8926,Ebbe Rosén,Olle Wenrup,Mälarhöjdens KS,2,7,2,3,5,7,(22 DNS),48,26,5th
FIN,8873,Sampsa Hyysalo,Lauri Kääpä,Helsingfors Segelklubb,7,3,4,4,3,5,(22 DNC),48,26,6th
DEN,8828,Fabiola Wonterghem,Michael Wonterghem,Sorø Sejlforening,10,2,(11),10,8,6,5,52,41,7th
DEN,9025,Per Larsen,Jacob Kristensen,Hellerup Sejlklub,6,(22 DNC),8,12,6,8,6,68,46,8th
FIN,8466,Hannu Poyry,Antti Salonen,HYP,8,4,9,7,11,9,(22 DNC),70,48,9th
DEN,8232,Jonas Christiansen,Johan Pedersen,Polyteknisk Sejlklub,9,9,7,9,10,(13),7,64,51,10th
SWE,8787,Lars Bjerke,Tore Reinhold,BKSS,(11),11,10,8,7,11,9,67,56,11th
SWE,8837,Tord Lawner,Tomas Gustavsson,BKSS,12,10,(19),11,9,10,8,79,60,12th
SWE,9092,Knut Hastenpflug,Jana Hastenpflug,Segelsällskapet Åmålsviken,(14),12,13,14,12,12,10,87,73,13th
SWE,8945,Curt Lestrup,Rasmus Tengblad,Björlunda SS,13,16,14,(22 DNF),13,15,22 DNC,115,93,14th
DEN,9109*,Rasmus Norre Andersen,Lars Henrik Norre Andersen,Aalborg Sejlklub,17,15,12,13,(22 DNF),16,22 DNF,117,95,15th
DEN,9109,Hans Genefke,Finn Angelo,Bramsnæs Sejlklub,18,18,15,(22 DNF),14,22 DNC,11,120,98,16th
SWE,7343,Lars Hultgren,Axel Hultgren,Råå Jolleklubb,16,13,17,15,15,(22 DNS),22 DNC,120,98,17th
DEN,8440,Mikkel Christiansen,Alfred Thoft Christiansen,Aalborg Sejlklub,15,8,18,16,(22 DNC),22 DNC,22 DNC,123,101,18th
SWE,9107,Sven Flood,Pia Åhlund,BKSS,19,17,16,(22 DNF),22 DNF,14,22 DNF,132,110,19th
DEN,8472,Rasmus Norre Andersen,Lars Henrik Norre Andersen,Aalborg Sejlklub,20,14,(22 DNC),22 DNC,22 DNC,22 DNC,22 DNC,144,122,20th
SWE,9038,Mårten Hansson,Ronald Nilsson,Skanörs Båtklubb,(22 DNF),22 DNC,22 DNC,22 DNC,22 DNC,22 DNC,22 DNC,154,132,21st
