,SailNo,HelmName,CrewName,Club,R1  ,R2  ,R3  ,R4  ,R5  ,R6  ,R7  ,R8  ,Total,Nett,Rank
RSA,8445,Kyle Klaas,Robert von Gruenewaldt,PSC,2,2,2,2,1,(3.0),1,1,14,11,1st
RSA,8481,Thomas Funke,Peter Funke,TYC,1,(3.0),1,1,3,2,3,3,18,14,2nd
RSA,8789,Alexander Ham,Warwick Ham,PSC,3,1,(4.0),4,2,1,2,2,19,15,3rd
RSA,8&,Hans Rogotzki,CJ Milln,PYC,4,4,5,5,4,5,4,(6.0),37,31,4th
RSA,8121,Albrecht Holm,Dietmar Holm,PSC,(dnc),7,3,3,5,7,5,7,46,37,5th
RSA,8471,James Largier,Richard Hutton-Squire,TSC,5,6,6,(7.0),7,4,6,3,44,37,6th
RSA,7608,Bronwen Klaas,Jonathan Ham,PSC,6,5,(7.0),6,6,6,7,5,48,41,7th
RSA,7525,Anthony Macmillan,Andrew Arthur,PYC,(dnc),dnc,8,8,8,dnc,dnc,dnc,69,60,8th
