Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Punkte,Pl.
DEN,8962,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,HS,14,1,2,1,,1
GER,9027,Wolfgang Hunger,Julien Kleiner,PYC,10,3,1,14,,2
GER,9040,Norbert Dasenbrook,Sven Meier,KSW,16,5,6,5,,3
DEN,8964,Jan Saugmann,Anders Friis,HiS,1,17,14,2,,4
GER,8651,Christian Kellner,Martin Schöler,HSC,4,2,32,11,,5
GBR,9012,Andrew Smith,Tim Needham,,3,13,11,6,,6
GBR,9067,Bertrand Loyal,Laurant Nevo,,2,25,7,15,,7
GER,8992,Claas Lehmann,Leon Oehme,NRV,13,19,4,10,,8
GBR,9032,Ian Pinnell,Ian Mitchell,GWSC,9,27,3,21,,9
GER,8990,Frieder Achterberg,Wolfgang Stückl,DTYC,29,7,8,18,,10
GER,8927,Jens-Peter Schlomka,Hans-Heinrich Rix,TSVS,27,4,30,3,,11
GER,9054,Helen Fischer,Lars Dehne,BYC,15,34,15,4,,12
GER,9028,Stefan Köchlin,Andreas Achterberg,SKF,7,36,20,7,,13
BEL,9066,Robert Roennback,Koen Jourquin,,36,6,17,12,,14
SUI,8543,Cedric Bart,Laurent Grob,CNB,17,18,10,9,,15
GER,8958,Stefan Böhm,Gerald Roos,SCV,39,8,9,20,,16
GER,9011,Michael Daisenberger,Benedikt Schulte,DTYC,5,20,22,13,,17
GBR,8906,Harry Briddon,Simon Briddon,,18,9,12,32,,18
GER,9020,Tim Böger,Markus Schöner,HSC,6,10,26,24,,19
SUI,8954,Florian Stauffer,Philippe Jacot,CVN,8,15,18,29,,20
GBR,8963,Martin Hodgson,Adrian Miles,,25,14,13,19,,21
GER,8975,Alexander Holzapfel,Stefan Worm,PSVK,12,23,16,26,,22
GER,8928,Hendrik Schultz,Thorsten Koch,SCLW,11,12,35,30,,23
FRA,8844,Xavier Broise,Nicolas Des Jaminieres,,22,31,5,35,,24
GER,8988,Oliver Thies,Christoph Engel,,33,11,25,22,,25
FIN,8632,Jari Hamstroem,Tuomas Laurila,EMK,20,21,21,17,,26
GBR,9006,Terry Scutcher,Christian Diebitsch,Shotley,21,32,24,16,,27
GER,8862,Robert Wisolek,C. Pirker,SCLW,26,40,29,8,,28
SUI,8569,Rene Betschen,Lionel Hollinger,CNB,23,24,19,47,,29
SUI,9060,Catherine Houriet,Gilles Donze,,37,16,31,25,,30
GER,8686,Christian Niefert,Sven Dömges,BSV,32,22,33,31,,31
GBR,8905,Stuart Turnbull,Jason Lunn,Burton,31,41,27,28,,32
GER,8672,Karsten Contag,Guido von Walter,SCLW,30,28,28,38,,33
FRA,8729,Alain Tosello,Yves Niddam,,19,44,34,39,,34
FRA,8948,Nicolas Guillou,Alain Ferec,SNP,38,33,23,42,,35
SUI,8613,Marti Ueli,Philippe Jacot,CVN,45,26,36,33,,36
FRA,8515,Nicolas Croce,Florian Facheux,,24,37,37,37,,37
SUI,8997,Uwe Hoffmann,Yoann Roux,WSVR,43,30,47,34,,38
GER,8903,Stephan Schweiger,Dave Farmer,SCLW,42,47,44,27,,39
GER,8658,Christina Höll,Alexander Wilhelm,HSC,44,29,42,45,,40
FIN,8320,Tatu Miettinen,Ville Tarvo,,34,35,46,46,,41
GBR,8881,Roger Deane,Dennis Cartwright,,35,45,41,41,,42
GBR,8974,Dave Smithwhite,Neil Fulcher,HISC,40,DNC,DNF,23,,43
ITA,8671,Giacinto Piacquadio,Andrea Messina,,41,39,39,48,,44
GER,8598,Anna Höll,Bernd Heinisch,,46,48,38,36,,45
GBR,8955,Simon Lake,Alex Barry,P.Cambs,48,43,43,44,,46
SUI,8727,Lorenz Nydegger,Martin Nydegger,SCB,49,49,40,43,,47
FRA,8486,Pascal Viaud,Fabrice Bouton,,47,42,45,52,,48
GBR,8907,Jim Berry,David Barnes,CVSC,52,38,48,51,,49
ITA,8743,Marco Giraldi,Massimiliano Airoldi,UVM,28,DNC,DNC,DNC,,50
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,54,51,50,40,,51
FRA,8509,Ronan Talarmin,Jordane Lafortune,,53,46,51,50,,52
FRA,8773,Gael Conversy,Denis Conversey,,50,50,49,49,,53
GER,8666,Michael Kurzeja,Julius Jacoby,BYC,51,52,52,53,,54
