Nation,Sail Number,Helm,Crew,Club,Race 1,Points,position
DEN,8727,Jorgen Schonherr,Anders Friis,,,,1
SWE,8232,Ebbe Rosén,Olle Wenrup,,,,2
DEN,8656,Jan Moller,Jacob Bojsen Moller,,,,3
SWE,8719,Jacob Lindval,Kalle Byrenius,,,,4
DEN,8620,Jan Saugmann,Morten Ramsbuk,,,,5
DEN,8474,Per Larsen,Henrik Andersen,,,,6
DEN,8622,Tom Bøjland,Jonas Christiansen,,,,7
DEN,8377,Anders Hoj Christensen,Peter Hoj Christensen,,,,8
DEN,8365,Martin Friederichsen,Jens Henrik Haahr,,,,9
DEN,8581,Jon Andersen,Lasse Andreasen,,,,10
