Nation,Sail Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Position
DEN,8728,Jörgen Schönherr,Anders Kaempe,KJS,4,9*,3,1,1,1,10,1
DEN,8620,Jan Saugmann,Morten Ramsbaek,HiS,2*,2,2,2,2,2,10,2
SWE,8655,Krista Bergström,,GKSS,1,4,1,16 DNC*,4,5,15,3
GER,8744,Hans-Heinrich Rix,Steffen Achenbach,TSVS,8,7,14*,3,3,3,24,4
GER,8725,Tom Gosch,Rolf Meyer,ENSFV,11*,10,4,5,5,4,28,5
DEN,8551,Jacob Ernst,Jesper Ernst,Hellerup,6,6,8*,4,7,7,30,6
DEN,8622,Tom Bojland,,Farum,9,1,11*,8,9,8,35,7
GER,8746,Nicolai Völckner,Carsten Hammer,HSC,10,3,12,7,8,16 DNC*,40,8
DEN,8581,Jan Andersen,,REESO,12,12,15*,6,6,6,42,9
DEN,8440,Per Larsen,,Farum,3,8,5,16 DNC*,16 DNC,16 DNC,48,10
GER,8563,Mathias Jetschke,Jens Weishaupt,WSCW,5,5,7,16 DNC*,16 DNC,16 DNC,49,11
DEN,8364,Bent Lundsager,,FAS,14*,13,10,10,10,9,52,12
DEN,8377,Anders Christensen,,HVID,13,15,9,9,11,16 DNC*,57,13
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,7,11,6,16 DNC*,16 DNC,16 DNC,56,14
DEN,8365,Martin Friderichsen,,,15,14,13,16 DNC*,16 DNC,16 DNC,74,15
