,Sail_Number,HelmName,CrewName,Home_Sailing_Club,R1,R2,R3,R4,R5,R6,Total,Helm Gender,Crew Gender,Nett,Rank
GBR,9215,Roger Gilbert,Ben McGrane,Netley Sailing club,(3.0),1.0,1.0,1.0,1.0,1.0,8.0,Male,Male,5.0,1st
GBR,9240,Nathan Batchelor,James Clarke,Tynemouth SC,1.0,2.0,2.0,(3.0),2.0,2.0,12.0,Male,Male,9.0,2nd
GBR,9085,Charlie Walters,Dougal Cram,Datchet Water Sailing Club,2.0,(5.0),3.0,2.0,3.0,3.0,18.0,Male,Male,13.0,3rd
GBR,9177,Tom Jeffcoate,Mark Hogan,Chew Valley Lake SC,4.0,4.0,4.0,(6.0),5.0,4.0,27.0,Male,Male,21.0,4th
GBR,8914,Tim Bird,Mike Priddle,Burton SC,5.0,3.0,5.0,5.0,(9.0 DNC),9.0 DNC,36.0,Male,Male,27.0,5th
GBR,8514,Michael Sims,Richard Nurse,Carsington SC,6.0,6.0,6.0,(7.0),4.0,5.0,34.0,Male,Male,27.0,6th
GBR,9203,Jim Blyth,Adam Kenny,Largo Bay Sailing Club,7.0,7.0,(8.0),4.0,6.0,6.0,38.0,Male,Male,30.0,7th
GBR,8881,Charlie Chandler,Chris Brooks,Tewkesbury Sailing Club,8.0,8.0,7.0,(9.0 DNC),9.0 DNC,9.0 DNC,50.0,Male,Male,41.0,8th
