Sail,NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Boat Nam,Total,Netto,Place
GER,9257,Agnieszka Skrzypulec,Holger Jess,YKP,1,1,1,[6],1,2,1,Elfe,13,7,1
GER,9251,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,2,2,[8],1,2,3,4,,22,14,2
GBR,9238,Ian Pinnell,Alex Davies,HISC,3,7,5,3,9,1,[20],Oh la La,48,28,3
FRA,9220,Philippe Boite,Marin Carnot,cvsq,8,4,2,15,10,4,[17],,60,43,4
AUS,9210,Michael Quirk,Charles Dwyer,BSC,4,10,18,[35],4,6,2,,79,44,5
USA,9072,Mike Holt,Ian Mitchell,Santa Cruz YC,6,5,7,[12],5,12,10,IO Integration,57,45,6
USA,9262,Howard Hamlin,Jon Bell,ABYC / NHYC,9,13,6,[24],3,9,8,Euro Boat,72,48,7
GBR,9085,Charlie Walters,Dougal Cram,Datchet sailing club,7,8,14,[15]DPI,6,8,5,,63,48,8
GER,9258,Alexander Holzapfel,Arne Wittemer,PSVK,16,[17],15,2,7,10,6,Kaltes klares Wasser,73,56,9
AUS,9191,Malcolm Higgins,David Snoad,BSYC,5,3,10,7,12,25,[43],Swear Jar,105,62,10
GER,9127,Frederik Schaal,Felix Diesch,SMCUE,11,15,11,4,15,[19],15,,90,71,11
GBR,9246,Michael Sims,Carl Gibbon,Burton,13,9,3,[37],33,14,9,,118,81,12
USA,9247,Mike Punnett,Finn Boeger,SISA,14,6,16,11,20,15,[22],Carole's boat,104,82,13
DEN,9055,Fabiola Wonterghem,Michael van Wonterghem,Holbæk Sejlklub,21,12,12,[31]DPI,24,5,13,Nu er det nu,118,87,14
GER,9070,Stefan Köchlin,Andreas Achterberg,SVS,12,11,9,18,30,11,[36],,127,91,15
FRA,9147,Hervé de Kergariou,Tristan le Jeune,56068,28,18,[29],8,8,24,7,Bonnie&Clyde,122,93,16
SUI,9096,Cédric Bart,René Betschen,CNB,[26],21,13,22,16,7,16,axou,121,95,17
USA,9027,Pierre Jeangirard,Paul von Grey,penn cove yacht club,20,24,19,11DPI,18,[33],11,tiny jeans,136,103,18
FRA,9081,Gilles Chapelin,Christian Chapelin,CVBOR,10,23,20,[36],21,17,14,,141,105,19
SWE,9181,Malin Broberg,Johan Röök,BKSS,17,16,[28],28,13,21,12,,135,107,20
GBR,8963,Martin Hodgson,Martin Hodgson,Stone Sailing Club,18,19,23,[28]DPI,19,16,19,,142,114,21
GER,9101,Timon Treichel,Morten Roos,SVWU,15,26,21,31,[39],23,3,,158,119,22
GBR,9178,Chris Lewns,Jack Kilburn,MBSC,[31],14,17,21,28,22,18,,151,120,23
SWE,8859,Tomas Berg,Johan Calvert,BKSS,[61],25,26,6DPI,26,29,21,Lille Otto,194,133,24
GER,9197,Alexandre Meller,Angela Stenger,MYC,24,[31],22,19,27,18,29,Bikini Atoll 2,170,139,25
SWE,9222,Tomas Franzen,Lars Lindgren,RJK,23,29,25,16,[36],31,23,Gaucho,183,147,26
DEN,9243,Per Larsen,Christian Mogensen,Hellerup Sejlklub,36,30,24,34DPI,11,13,[38],,186,148,27
FRA,22,Ludovic Roblin,,AANPB,25,32,[46],29,17,20,31,,200,154,28
FRA,8716,Aline Martin,Augustin Doumic,YCIDF,29,32RDG,[35],25,25,26,24,,196,161,29
SWE,9187,Jonas Berntsson,Magnus Lundberg,,45,35,[73]DNF,9,22,32,25,NN,241,168,30
GER,9234,Nørbert Dasenbrook,Sven Meier,KSW,19,22,38,[44]DPI,23,44,27,,217,173,31
FRA,9218,Bertrand Commeil,Charles Commeil,YCCAR,37,37,31,26,14,[39],33,,217,178,32
BEL,8898,Bas Van Assche,Casper Martens,LZF,34,34,39,20,[49],35,28,Iznogoud,239,190,33
GER,9185,Stefan Boehm,Frank Boehm,SCV,22,40,37,[46],37,28,32,,242,196,34
GER,9032,Klaus Diesch,Thomas Stemmer,WYC,27,48,43,14DPI,35,[55],35,,257,202,35
FRA,9219,Elisabeth Neidhart,Pierre Jean Gallo,YCIF,40,38,40,17,44,[53],39,,271,218,36
POL,9135,Dariusz Konopczak,Paweł Henszke,CŻ S,41,28,36,[51],29,37,47,,269,218,37
