Country,Sail NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Totale,Netto,Place
GER,9251,Jan-Philipp Hofmann,Felix Björn Brockerhoff,DÃ1/4sse ld o rfe r Ya chtclub e .V.,3,1,1,2,1,1,2,[8],19,11,1
USA,9262,Howard Hamlin,Jeffrey Nelson,Nelson,2,3,[42 UFD],5,8,5,6,2,73,31,2
USA,9266,Mike Holt,Rob Woelfel,Santa Cruz YC,9,5,[10],10,3,6,1,1,45,35,3
FRA,9270,Philippe Boite,Marin Carnot,CVSQ,6,11,6,1,2,[15],9,3,53,38,4
GBR,9274,Paul Brotherton,James Fawcett,Ethe row Sailing Club,4,2,3,3,19,13,5,[42 RET],91,49,5
GBR,9246,Michael Sims,Carl Gibbon,C a rsin gto n,7,7,[22],8,4,4,14,7,73,51,6
GBR,9238,Ian Pinnell,Charles Dwyer,HISC,1,14,2,12,6,14,11,[15],75,60,7
GER,9198,Julian Stückl,Johannes Tellen,DTYC,8,18,4,9,7,11,4,[26],87,61,8
GER,9275,Stefan Köchlin,Andréas Achterberg,SVS,14,10,12,6,9,7,[17],4,79,62,9
GER,9258,Alexander Holzapfel,Finn Böger,Po ot- sp o rtve re in Koblenz,[18],4,7,15,15,2,13,11,85,67,10
AUS,9191,Malcolm Higgins,Nick Johnston,B ESYC,21,12,[26],4,10,3,16,5,97,71,11
CAN,9207,Robert Tennant,Stephen Bourdow,RVicYC,12,20,[30],14,11,12,3,6,108,78,12
SUI,9267,Caroline Jacot,Philippe Jacot,C NB,5,9,8,7,14,18,[21],19,101,80,13
USA,9247,Mike Punnett,Keahi Ho,PCYC,16,17,5,16,12,[19],12,9,106,87,14
DEN,9244,Wolfgang Hunger,Arne Wittemer,Santa Cruz Yacht Club,24,6,9,[42 UFD],5,17,15,16,134,92,15
SUI,9096,Cédric Bart,René Betschen,C NB,27,13,[28],18,13,9,10,12,130,102,16
GER,9260,Tim Böger,Markus Schöner,HSC,17,23,[35],24,24,8,7,10,148,113,17
GER,9185,Stefan Böhm,Gerald Roos,SCV,20,21,16,11,17,10,24,[42 DNC],161,119,18
GER,9231,Giesler Stefan,Frank Böhm,VSa W,13,19,11,19,20,[28],25,13,148,120,19
GER,9146,Joseph Schütte,Aron Tellen,KYC,15,25,17,26,18,20,[34],18,173,139,20
GER,9195,Timon Treichel,Dirk Penno,,19,28,21,20,[42 DNC],30,8,21,189,147,21
GER,9182,Alexander Swade,Patrick Treichel,DÃ1/4sse ld o rfe r Ya chtclub,[31],15,13,21,31,27,20,23,181,150,22
GER,9133,Frieder Achterberg,Wolfgang Stückl,DTYC,[32],26,14,23,21,22,27,17,182,150,23
POL,9170,Karol Milewski,Bartosz Milewski,YK Sta l Gdynia,29,22,15,17,27,25,[30],22,187,157,24
GER,92*,Lena Stückl,Kilian Northoff,DTYC,26,8,19,25,34,[42 DNC],23,25,202,160,25
GER,9179,Pierre Jeangirard,Paul von Grey,PCYC,11,35,25,30,22,24,18,[42 RET],207,165,26
GER,9204,Matthew Hansen,Shane Attwell,Fremantle sailing club,36,32,[37],13,16,32,22,20,208,171,27
GER,9234,Nørbert Dasenbrook,Gurgl Karl Martin,KSW,10,33,[38],22,25,29,26,27,210,172,28
GER,9090,Jens-Peter Schlomka,Martin Schöler,DSC,30,31,[34],28,26,26,19,14,208,174,29
GER,9197,Nicola Birkner,Angela Stenger,VsaW,23,16,18,27,30,31,[37],31,213,176,30
POL,9140,Dominik Ostrowski,Maciej Goździk,SWOS WA RSZAWA,28,27,23,32,29,21,28,[42 DNC],230,188,31
GER,912,Nils-Henning Hofmann,Christoph Swade,DYC,34,29,33,29,23,16,35,[42 DNC],241,199,32
GER,8975,Maike Roos,Julia Achterberg,SVWu,22,24,24,33,33,33,[38],33,240,202,33
ITA,8916,Enrico Ciferri,Marco Giraldi,C irco lo Ve lico la go d i Lugano,33,[39],31,31,32,23,31,29,249,210,34
FRA,9219,Elisabeth Neidhart,Arthur Radier,YC IF,35,[38],29,34,28,36,32,24,256,218,35
GBR,9261,Martin Wedge,Graham Elliot,C a rma n x,[37],30,27,36,35,34,33,28,260,223,36
FRA,9075,Loïc Bleuez,Guillaume Henrio,A NSM,25,34,32,37,36,35,[39],30,268,229,37
AUS,9225,Murray Gilbert,Lindsay Gilbert,Sa n d ga te Yacht Club,39,36,20,39,[42 DNF],38,36,32,282,240,38
AUS,9071,Richard Hyde,,DPSS,38,[42 DNC],36,38,38,42 DNC,29,42 RET,305,263,39
CAN,8763,Brian Trainor,Brendan Trainor,Kitsila n o Yacht Club,40,37,[42 UFD],35,37,37,42 DNC,42 DNC,312,270,40
SUI,9060,Catherine Houriet,Giles Donzé,C RG,[42 DNC],42 DNC,42 DNC,42 DNC,42 DNC,42 DNC,42 DNC,42 DNC,336,294,41
