Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Place
SUI,69*,Josef Zuppiger,Daniel Brun,RCO/YCSp,11,4,1,1,5,3,"11,9",1
SUI,7960,Markus Bohren,Beat Waser,YCZ/YCI,1,3,4,12,6,1,"16,9",2
SUI,7964,Heiner Kyburz,Herbert Hermann,YCZ,4,9,5,3,3,2,"21,4",3
SUI,7827,Roger Oswald,Christian Wiskemann,SSB,7,11,3,6,1,4,"23,9",4
SUI,7634,Oldani,Fischlin,YCZ,2,5,22,7,4,5,"26,6",5
SUI,8003,Werner Müller,Frederik Huck,YCZ/SCS6,6,7,2,7,2,27,"35,2",6
SUI,7899,Oldani,Blum,YCZ,3,8,5,12,11,4,"45,9",7
SUI,7975,Urs Scherrer,Roger Fischer,YCZ/SCC,34,1,5,4,4,27,52,8
SUI,7395,Pierre-Andre Bonjour,J C Burdet,CNV,7,12,7,5,7,12,56,9
SUI,7865,Zoller,Unternahrer,SNC,9,4,16,9,7,7,58,10
SUI,7994,Stephan Räbsamen,Meret Boog,SSM,34,5,4,5,9,12,61,11
SUI,7974,Vandeveld,Vandeveld,CNM,8,7,4,5,5,11,69,12
SUI,7014,Brasey,Naegele,CNM,34,10,6,9,9,6,70,13
FRA,7993,Rochet,Mislin,CNM,4,9,11,10,9,33,71,14
SUI,7953,Stephan Rüeger,Caramaschi,SCSTa,12,5,11,7,12,9,73,15
SUI,7749,Thomas Jundt,Philippe Schiller,CVN,13,12,9,11,11,7,74,16
SUI,8079,Philippe Grünig,Kappeler,BT/YCB,34,33,7,2,5,7,"76,6",17
SUI,7812,Adamczyk,Baebler,YCZ,5,7,9,4,28,33,81,18
SUI,763*,Beat Wernli,Zubler,SENT,5,4,33,11,15,9,83,19
SUI,7178,Eichenberger,Eichenberger,SCH,12,6,15,13,19,11,85,20
SUI,7418,Arnulf,Jombart,CVN,9,11,12,17,12,27,85,21
SUI,7853,Gericke,Ebbecke,ZYC,15,9,22,4,8,5,92,22
SUI,7753,Streuli,Peter Seitz,SCSTa,9,11,7,19,10,4,93,23
GER,7765,Seifert,Seifert,SGR,10,12,11,11,17,11,103,24
SUI,7558,Gregorini,Obrist,RCO,34,2,22,8,11,27,"111,6",25
SUI,7522,Spiess,Spiess,YCZ,18,15,22,12,4,10,117,26
GER,6902,Bölke,Heimburger,SSCM,22,16,9,9,22,8,118,27
GER,7005,Franscisco Sanguino-Petersen,Robert Wisolek,NOS,7,13,10,20,16,15,121,28
SUI,7889,Lorenz Nydegger,Martin Nydegger,SCB,11,14,16,18,14,13,122,29
SUI,6474,Hunziker,Kaufsann,SCH,19,18,8,14,24,5,123,30
AUT,7551,Rudi Birkel,Fr. Schweinberger,YCH,26,17,12,21,19,12,141,31
SUI,6086,Walther,Kambly,SCSTi,12,20,17,16,26,16,141,32
SUI,7419,Klammer,Scheidegger,TYC/RCO,17,23,14,15,20,17,143,33
SUI,7015,Böttcher,Böttcher,SVO,4,29,22,33,21,19,147,34
SUI,6643,Gasser,Moor,SCMT,16,22,13,"34,5",27,21,"154,5",35
GER,7764,Peter Daferner,Holik,SGR,11,25,12,"34,5",33,39,"157,5",36
SUI,7635,Singer,Schwarz,SKS,20,19,33,39,18,9,159,37
SUI,7751,Oliver Dufour,Lionel Dufour,CVMC,21,27,33,39,7,14,162,38
FRA,8000,Bourdon,Bourdon,CVP,14,28,33,39,12,24,165,39
SUI,7811,Hauser,Stein,SCSG,5,21,22,33,39,33,173,40
SUI,7958,Kollöffel,Durrer,YCZ,23,26,22,33,23,20,174,41
SUI,7523,Fricker,Wyss,YCZ,27,24,33,39,25,18,187,42
SUI,7810,Favre,Kisling,CNM,24,30,33,39,33,39,213,43
SUI,7393,Ineichen,Flüeler,YCZ,25,33,39,33,39,33,217,44
SUI,4897,Zubler,Iten,SCH,28,33,39,33,39,33,220,45
