,Sail,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,RACE 5,Race 6,Total,
USA,6808,Spencer Snapp,,PTYC,4,1,6*,5,1,1,12,1
USA,8823,Mats Elf,,CYC Seattle,1,3,7*,2,2,5,13,2
CAN,7610,Cynthia Des Brisay,,Ktsilano YC,2,6*,1,3,5,3,14,3
USA,8831,Erik Coburn,,PTSA,8*,4,3,1,4,4,16,4
CAN,8192,Phil Crugg,,Vancouver YC,3,8*,4,6,3,2,18,5
CAN,8755,Brian Trainor,,Kitsilano YC,7,2,5,4,8*DNC,8 DNC,26,6
USA,8960,Bruce Van Devente,,CYC Seattle,6,7,2,8*,8 DNC,8 DNC,31,7
USA,7206,Chris Pittack,,CYC Seattle,5,5,8,9*,7,6,31,8
USA,8617,Paul Pihl,,,9*,9,9,7,6,7,38,9
,8245,Sean Rankins,,PTSA,10*,10,10,10,8 DNC,8 DNC,46,10
,6380,Sam Swan,,,11,11,11,12*DNF,8 DNC,8 DNC,49,11
