Nation,SAILNUMB,Skipper,,YACHT_CLUB,R1 10/2,R2 10/2,R3 10/2,R4 10/2,R5 10/2,R6 10/2,R7 10/2,R8 10/3,R9 10/3,R10 10/3,R11 10/3,BOATNAME,Points,Place
USA,8799,Angus Brackett,,SYC,1,1,2,1,2,1,1,2,1,1,1,RELISH,14,1st
USA,8823,Mats Elf,,SYC,2,2,1,2,1,2,2,1,3,2,2,(MATS ELF),20,2nd
USA,8960,Bruce Van Deventer,,CYC,3,3,3,3,3,3,3,3,4,4,3,(VANDEVENTER),35,3rd
USA,7206,Christian Pittack,,CYC,4,4,4,4,4,4,4,4,2,3,4,WATERY TART,41,4th
