Nation,Boat,Skipper,Crew,Club,1,2,3,4,5,6,7,Total,Position
USA,9007,Tyler Moore,Russ Miller,,1,1,1,1,1,1,[10/DNF],6,1
USA,8012,Henry Amthor,Dustin Romey,,[2],2,2,2,2,2,1,11,2
USA,8441,Olav Schluter,Michael Renda,,3,3,4,[5],4,3,2,19,3
USA,7776,Jim Englert,Brian Huntsman,,4,7,6,3,3,[10/DNS],10/DNS,33,4
USA,8013,J Wenderoth,Jack Field,,5,4,5,4,5,[10/DNF],10/DNS,33,5
USA,8850,Doug Watson,Gabe Watson,,6,5,3,6,[10/DNF],10/DNF,10/DNF,40,6
USA,8952,J Spracher,Ollie Ross/George Reville,,8,6,7,7,[10/DNS],10/DNF,10/DNF,48,7
USA,8951,Christian Rasmussen,Thomas Rasmussen,,7,[10/DNS],10/DNS,10/DNS,10/DNS,10/DNS,10/DNS,57,8
USA,8822,David Burchfiel,Josh Gray,,9,[10/DNS],8,10/DNS,10/DNS,10/DNS,10/DNS,57,9
