Nation,SailNo,Skipper,,Club,R1,R2,R3,R4,R5,R6,R7,R8,Boat,Points,Place
USA,8792,Carol Buchan,,SeattleYachtClub/CorinthianofSeattleYC,1,2,2,3,1,2,2,1,Yellow Jacket,14,1
USA,8815,Dalton Bergan,,Seattle YC,2,1,1,2,2,1,5,2,Wing'in It,16,2
USA,8824,Jen Morgan Glass,,Seattle Yacht Club,3,3,4,1,4,3,1,3,Gummy North,22,3
USA,8799,Angus Brackett,,SYC,6.0 DNC,5,3,5,3,4,3,4,,33,4
USA,8960,Bruce Van Deventer,,Corinthian Yacht Club of Seattle,5,4,5,4,5,5,4,5,Sharkbait,37,5
USA,8554,Christian Pittack,,CYC-Seattle,4,6,6,6,6,6,6,6,Watery Tart,46,6
